Journal,language requirements,language requirements notes,language requirements binned,editing services,author guidelines suggest peer review,Authors are recommended in guidelines to suggest reviewers from diverse backgrounds (select no if there are no guidelines),authors suggest diverse reviews binned,guidelines multiple countries,guidelines multiple institutions,guidelines ecr,guidelines gender,guidelines another demographic enthnicity or race,guidelines another demographic other,guidelines to be reviewer,guidelines link publisher,guidelines reviewer specific journal,guidelines social justice,guidelines esl,blind format,journal publish peer reviews,continent,eic_01,eic_02,eic_03,eic_04,eic_05,eic_06,eic_07,eic_08,eic_09,JCR 2020 IF,JIF_bin,JCR 2020 IF sans self citations ,JCR 2020 JCI,Language in JCR,Country based in on JCR,Publisher on JCR,Publisher from JCR but binned by larger company,Publisher major minor,society,Society listed,Society_publisher,First year in JCR,Website URL,Secondary website domain,Notes,Overall Tier Score,Notes on tier scoring,Source
ACTA AMAZONICA,No mention of language editing in author guidelines or doesn't have author guidelines,"""The manuscripts must be written in English.""",1,Journal doesn't mention language editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Double_required,No,South America,Brazil,,,,,,,,,1.126,Low,1.074,0.38,Multi-Language,BRAZIL,INST NACIONAL PESQUISAS AMAZONIA,INST NACIONAL PESQUISAS AMAZONIA,Minor,NA,Not_society,Minor_Not_society,2015,https://www.scielo.br/j/aa/,https://acta.inpa.gov.br/index.php,They say to upload a separate title page with author names/institutions BUT say to use full institution names in acknowledgements. They don’t specify any information on blinding. I emailed the editorial office listed on 3/15/22 to clarify. I would lean towards it being double blind based on the title page. ,Tier 1,There is a bigger Aims and Scope that lists ecology at https://www.scielo.br/journal/aa/about/#about. The first page you go to from Google was much narrower. ,JCR
Acta Botanica Brasilica,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""If English is not your first language, it is strongly recommended to have your manuscript edited for language before submission. This is not a mandatory step, but may help to ensure that the academic content of your paper is fully understood by journal editors and reviewers.""",6,Authors pay for editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Single,No,South America,Brazil,,,,,,,,,1.268,Low,1.208,0.39,Portuguese,BRAZIL,SOC BOTANICA BRASIL,SOCIEDAD BOTANICA DE BRASIL,Minor,Sociedade Botanica do Brasil,Society,Minor_Society,2010,https://acta.botanica.org.br/,,,Tier 1,,JCR
ACTA BOTANICA CROATICA,Other (describe in adjacent column),"""The manuscript should be submitted as a Word document. The writing needs to be clear, concise and in correct English. Unfortunately, we do not offer a language editing service as part of the submission process, so it is up to authors to ensure the highest quality of writing in their manuscript. If the language is deemed too inadequate for easy understanding, the manuscript will be returned to authors without review.""",7,Journal doesn't mention language editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Single,No,Europe,Croatia,,,,,,,,,0.981,Low,0.981,0.33,English,CROATIA,"UNIV ZAGREB, FAC SCIENCE, DIV BIOLOGY",UNIVERSITY OF ZAGREB,Minor,NA,Not_society,Minor_Not_society,2010,http://www.abc.botanic.hr/index.php/abc,,,Tier 1,,JCR
Acta Botanica Mexicana,"Journal publishes articles in more than one language (e.g., Spanish and English)",also publishes in Spanish,2,Journal doesn't mention language editing,Yes,No,2,No,No,No,No,No,No,No,No,No,No,No,Double_required,No,South America,Mexico,,,,,,,,,0.96,Low,0.707,0.27,Spanish,MEXICO,INST ECOLOGIA AC,INST ECOLOGIA AC,Minor,NA,Not_society,Minor_Not_society,2009,https://abm.ojs.inecol.mx/index.php/abm/index,,,Tier 1,,JCR
Acta Ecologica Sinica,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""Please write your text in good English (American or British usage is accepted, but not a mixture of these). Authors who feel their English language manuscript may require editing to eliminate possible grammatical or spelling errors and to conform to correct scientific English may wish to use the English Language Editing service available from Elsevier's Author Services.""",5,Authors pay for editing,No,No,1,No,No,No,No,No,No,Yes,Yes,No,No,No,Single,No,Unclear,China,United States,China,,,,,,,NA,NA,NA,NA,English,China,ELSEVIER,ELSEVIER,Major,NA,Not_society,Major_Not_society,Not in JCR,https://www.journals.elsevier.com/acta-ecologica-sinica,,"Not JCR indexed so got information from website. There is one person under ""Editor-in-Chief"" and two under ""Co-Editor-in-Chief"" (one in the United States and one in China). ",Tier 1,,"Original list (publisher, personal knowledge)"
ACTA ETHOLOGICA,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""For editors and reviewers to accurately assess the work presented in your manuscript you need to ensure the English language is of sufficient quality to be understood. If you need help with writing in English you should consider: - Getting a fast, free online grammar check. - Asking a colleague who is proficient in English to review your manuscript for clarity. - Visiting the English language tutorial which covers the common mistakes when writing in English. -Using a professional language editing service where editors will improve the English to ensure that your meaning is clear and identify problems that require your review. Two such services are provided by our affiliates Nature Research Editing Service and American Journal Experts. Springer authors are entitled to a 10% discount on their first submission to either of these services, simply follow the links below""",5,Authors pay for editing,Optional,Yes,3,Yes,Yes,No,No,No,No,No,No,No,No,No,Single,No,South America,Portugal,,,,,,,,,1.231,Low,1.192,0.57,English,Germany,SPRINGER HEIDELBERG,SPRINGER,Major,NA,Not_society,Major_Not_society,2007,https://www.springer.com/journal/10211,,,Tier 1,,JCR
Acta Oecologica,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""Please write your text in good English (American or British usage is accepted, but not a mixture of these). Authors who feel their English language manuscript may require editing to eliminate possible grammatical or spelling errors and to conform to correct scientific English may wish to use the English Language Editing service available from Elsevier's Author Services.""",5,Authors pay for editing,Yes,Yes,3,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Single,No,Unclear,Argentina,,,,,,,,,1.674,Low,1.601,0.47,Multi-Language,NETHERLANDS,ELSEVIER,ELSEVIER,Major,NA,Not_society,Major_Not_society,1997,https://www.journals.elsevier.com/acta-oecologica,,,Tier 1,,"Original list (publisher, personal knowledge)"
Acta Phytotaxonomica et Geobotanica,No mention of language editing in author guidelines or doesn't have author guidelines,"""Manuscripts must be written in English.""",1,Journal doesn't mention language editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Assumed_single,No,Asia,Japan,,,,,,,,,0.535,Low,0.442,0.25,English,JAPAN,"JAPANESE SOC PLANT SYSTEMATICS, UNIV TOKYO, GRADUATE SCH","JAPANESE SOC PLANT SYSTEMATICS, UNIV TOKYO, GRADUATE SCH",Minor,Japanese Society for Plant Systematics,Society,Minor_Society,2017,https://www.jstage.jst.go.jp/browse/apg,,,Tier 1,,JCR
ACTA SOCIETATIS BOTANICORUM POLONIAE,No mention of language editing in author guidelines or doesn't have author guidelines," ""The spelling of the manuscript must be US English""",1,Journal doesn't mention language editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Double_required,No,Europe,Poland,,,,,,,,,0.943,Low,0.871,0.33,Multi-Language,POLAND,POLSKIE TOWARZYSTWO BOTANICZNE,POLSKIE TOWARZYSTWO BOTANICZNE,Minor,Polish Botanical Society,Society,Minor_Society,1997,https://pbsociety.org.pl/journals/index.php/asbp,,,Tier 1,,JCR
ACTA ZOOLOGICA,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""Manuscripts should be in English and written in a concise, straightforward style. Authors for whom English is a second language may choose to have their manuscript professionally edited before submission to improve the English. A list of independent suppliers of editing services can be found here. All services are paid for and arranged by the author, and use of one of these services does not guarantee acceptance or preference for publication.""",5,Authors pay for editing,Yes,No,2,No,No,No,No,No,No,Yes,Yes,No,No,No,Single,No,Europe,Germany,,,,,,,,,1.261,Low,1.029,0.7,Multi-Language,United Kingdom,WILEY,WILEY,Major,Royal Swedish Academy of Sciences and Royal Danish Academy of Sciences and Letters,Society,Major_Society,1997,https://onlinelibrary.wiley.com/journal/14636395,,,Tier 1,"Focuses on ""development with emphasis on functional, comparative and phylogenetic aspects""",JCR
ACTA ZOOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE,No mention of language editing in author guidelines or doesn't have author guidelines,"""Manuscripts must be written in English.""",1,Journal doesn't mention language editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Single,No,Europe,Hungary,,,,,,,,,0.923,Low,0.808,0.47,English,HUNGARY,HUNGARIAN NATURAL HISTORY MUSEUM,HUNGARIAN NATURAL HISTORY MUSEUM,Minor,Hungarian Academy of Sciences,Society,Minor_Society,1997,http://actazool.nhmus.hu/,https://ojs.mtak.hu/index.php/actazool,,Tier 1,,JCR
ACTA ZOOLOGICA BULGARICA,No mention of language editing in author guidelines or doesn't have author guidelines,"""Manuscripts must be written in English.""",1,Journal doesn't mention language editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Assumed_single,No,Europe,Bulgaria,,,,,,,,,0.448,Low,0.385,0.31,English,BULGARIA,"INST ZOOLOGY, BAS","INST ZOOLOGY, BAS",Minor,Bulgarian Academy of Sciences,Society,Minor_Society,2010,acta-zoologica-bulgarica.eu,,"""The journal is continuer of the first zoological journal of the Bulgarian Academy of Sciences, entitled Bulletin de l’Institut de Zoologie et Musée (1951—1974).""",Tier 1,,JCR
Advanced Genetics,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""Manuscripts must be written in American English and be grammatically and linguistically correct. Authors should seek assistance with style, grammar and vocabulary if necessary. Please note: Wiley provides a professional language and manuscript editing service, with expert help in English language editing, translation service, manuscript formatting, and figure preparation. For detailed information, costs and instructions please go to: Wiley Editing Services.""",5,Authors pay for editing,No,No,1,No,No,No,No,No,No,Yes,No,Yes,No,No,Single,No,Unclear,United States,,,,,,,,,NA,NA,NA,NA,English,NA,WILEY,WILEY,Major,NA,Not_society,Major_Not_society,Not in JCR,https://onlinelibrary.wiley.com/journal/26416573,,,Tier 1,"Says they are reviewing papers on, ""virus-host evolution"" and ""Polygenic signatures in evolution"" on the About the Journal page","Original list (publisher, personal knowledge)"
AEROBIOLOGIA,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""For editors and reviewers to accurately assess the work presented in your manuscript you need to ensure the English language is of sufficient quality to be understood. If you need help with writing in English you should consider:
Getting a fast, free online grammar check.
Asking a colleague who is proficient in English to review your manuscript for clarity.
Visiting the English language tutorial which covers the common mistakes when writing in English.
Using a professional language editing service where editors will improve the English to ensure that your meaning is clear and identify problems that require your review. Two such services are provided by our affiliates Nature Research Editing Service and American Journal Experts. Springer authors are entitled to a 10% discount on their first submission to either of these services, simply follow the links below""",5,Authors pay for editing,Optional,Yes,3,Yes,Yes,No,No,No,No,No,No,No,No,No,Single,No,Europe,Spain,,,,,,,,,2.41,Low,1.943,0.65,English,NETHERLANDS,SPRINGER,SPRINGER,Major,International Association for Aerobiology,Society,Major_Society,2007,https://www.springer.com/journal/10453,,,Tier 3,,JCR
AFRICAN INVERTEBRATES,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""All papers should be in grammatically correct English. Non-native English speaking authors are required to have their manuscripts checked by a native English speaker prior to submission.""",6,Authors pay for editing,Optional,No,2,No,No,No,No,No,No,Yes,No,Yes,No,No,Single,No,Africa,South Africa,,,,,,,,,0.36,Low,0.32,0.34,Multi-Language,SOUTH AFRICA,COUNCIL NATAL MUSEUM,COUNCIL NATAL MUSEUM,Minor,NA,Not_society,Minor_Not_society,2009,https://africaninvertebrates.pensoft.net/,,,Tier 3,"""African Invertebrates is an international peer-reviewed, open-access journal that focuses primarily on the taxonomy, systematics, biogeography, and palaeontology of Afrotropical invertebrates, whether terrestrial, freshwater or marine. Aspects concerning biology, ecology, and conservation may also be considered where these relate to the primary focus areas. Papers dealing solely with biology, ecology, physiology, pests and pest control should be submitted elsewhere.""",JCR
African Journal of Aquatic Science,Offers editing but doesn't strongly suggest or recommend that people use it,"""For editing support, including translation and language polishing, explore our Editing Services website""",4,Authors pay for editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Assumed_single,No,Africa,South Africa,South Africa,,,,,,,,1,Low,0.895,0.29,English,SOUTH AFRICA,NATL INQUIRY SERVICES CENTRE PTY LTD,TAYLOR AND FRANCIS,Major,Southern African Society of Aquatic Scientists,Society,Major_Society,2010,https://www.nisc.co.za/products/2/journals/african-journal-of-aquatic-science,https://www.tandfonline.com/toc/taas20/current,"No specific blinding format found for journal but publisher states that all journals have single- or double-blind formats. The title page suggests single-blind. The journal is co-published by Taylor and Francis and ""NISC in association with Southern African Society of Aquatic Scientists (SASAqS)""",Tier 1,,"Original list (publisher, personal knowledge)"
African Journal of Ecology,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""Wiley Editing Services can greatly improve the chances of a manuscript being accepted. Offering expert help in English language editing, translation, manuscript formatting, and figure preparation, Wiley Editing Services ensures that the manuscript is ready for submission.""",6,Authors pay for editing,No,No,1,No,No,No,No,No,No,Yes,Yes,No,No,No,Single,Yes,Africa,United Kingdom,,,,,,,,,1.426,Low,1.287,0.3,English,United Kingdom,WILEY,WILEY,Major,East African Wild Life Society,Society,Major_Society,1997,https://onlinelibrary.wiley.com/journal/13652028,,Single-blind with option for transparent review (review published with article); no SJ policy language in author or referee guidelines but DEI section in ethics guidelines of publisher site.,Tier 1,,"Original list (publisher, personal knowledge)"
AFRICAN JOURNAL OF MARINE SCIENCE,Offers editing but doesn't strongly suggest or recommend that people use it,"""For editing support, including translation and language polishing, explore our Editing Services website""",4,Authors pay for editing,Optional,No,2,No,No,No,No,No,No,No,No,No,No,No,Single,No,Africa,South Africa,,,,,,,,,1.183,Low,0.988,0.33,English,SOUTH AFRICA,NATL INQUIRY SERVICES CENTRE PTY LTD,TAYLOR AND FRANCIS,Major,NA,Not_society,Major_Not_society,2003,https://www.ajol.info/index.php/ajms,https://www.nisc.co.za/products/3/journals/african-journal-of-marine-science,"Publisher: NISC; associated with the Fisheries branch of the South African Forestry, Fisheries and the Environment (DFFE). Co-published with Taylor and Francis (https://www.tandfonline.com/journals/tams20) ",Tier 3,,JCR
AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE,Offers editing but doesn't strongly suggest or recommend that people use it,"""For editing support, including translation and language polishing, explore our Editing Services website""",4,Authors pay for editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Double_required,No,Africa,South Africa,,,,,,,,,1.293,Low,1.224,0.38,English,SOUTH AFRICA,NATL INQUIRY SERVICES CENTRE PTY LTD,TAYLOR AND FRANCIS,Major,Grassland Society of Southern Africa,Society,Major_Society,2010,https://www.ajol.info/index.php/ajrfs,https://www.nisc.co.za/products/4/journals/african-journal-of-range-and-forage-science,Publisher: NISC and co-published with Taylor and Francis (https://www.tandfonline.com/journals/tarf20),Tier 3,,JCR
Agriculture Ecosystems & Environment,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""Please write your text in good English (American or British usage is accepted, but not a mixture of these). Authors who feel their English language manuscript may require editing to eliminate possible grammatical or spelling errors and to conform to correct scientific English may wish to use the English Language Editing service available from Elsevier's Author Services.""",5,Authors pay for editing,Yes,Yes,3,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Single,No,Unclear,China,Netherlands,,,,,,,,5.567,Mid,5.086,1.55,English,NETHERLANDS,ELSEVIER,ELSEVIER,Major,NA,Not_society,Major_Not_society,1997,https://www.journals.elsevier.com/agriculture-ecosystems-and-environment,,Referees should not have collaborated with author or coauthor in past three years,Tier 1,,"Original list (publisher, personal knowledge)"
