Study,Study type,Author position,Demographic,Demographic.category,Total manuscripts,N.reviewers,Blinding.format,Blinding type,Year,Category,Subcategory,Journal impact factor,Stage,Notes
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,5811,1.902426433,Double,NA,2013,Health sciences,Health sciences,1,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,4408,2.004764065,Double,NA,2013,Health sciences,Health sciences,2,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,1324,2.224320242,Double,NA,2013,Health sciences,Health sciences,3,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,70,1.828571429,Double,NA,2013,Health sciences,Health sciences,4,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,79,1.860759494,Double,NA,2013,Health sciences,Health sciences,5,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,6898,1.917802262,Double,NA,2013,Health sciences,Health sciences,1,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,5333,2.018751172,Double,NA,2013,Health sciences,Health sciences,2,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,1670,2.230538922,Double,NA,2013,Health sciences,Health sciences,3,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,83,1.855421687,Double,NA,2013,Health sciences,Health sciences,4,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,90,1.9,Double,NA,2013,Health sciences,Health sciences,5,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,1048,2.048664122,Single,NA,2013,Health sciences,Health sciences,1,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,4551,1.98857394,Single,NA,2013,Health sciences,Health sciences,2,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,3349,2.020005972,Single,NA,2013,Health sciences,Health sciences,3,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
