Study,Study type,Author position,Demographic,Demographic category,Rejected,Went through to next stage,% rejected,Year,Category,Subcategory,Journal impact factor,Stage,Notes
Burns and Fox (2017),Observational,First,Continent,Africa,29,34,46.03174603,2012,Life sciences,Ecology & Evolution,4.861,Pre-initial decision,
Burns and Fox (2017),Observational,First,Continent,Asia,276,229,54.65346535,2012,Life sciences,Ecology & Evolution,4.861,Pre-initial decision,
Burns and Fox (2017),Observational,First,Continent,Europe,516,950,35.19781719,2012,Life sciences,Ecology & Evolution,4.861,Pre-initial decision,
Burns and Fox (2017),Observational,First,Continent,Latin America,76,112,40.42553191,2012,Life sciences,Ecology & Evolution,4.861,Pre-initial decision,
Burns and Fox (2017),Observational,First,Continent,North America,228,677,25.19337017,2012,Life sciences,Ecology & Evolution,4.861,Pre-initial decision,
Burns and Fox (2017),Observational,First,Continent,Oceania,81,214,27.45762712,2012,Life sciences,Ecology & Evolution,4.861,Pre-initial decision,
Burns and Fox (2017),Observational,Corresponding,Continent,Africa,26,31,45.61403509,2012,Life sciences,Ecology & Evolution,4.861,Pre-initial decision,
Burns and Fox (2017),Observational,Corresponding,Continent,Asia,267,211,55.85774059,2012,Life sciences,Ecology & Evolution,4.861,Pre-initial decision,
Burns and Fox (2017),Observational,Corresponding,Continent,Europe,499,925,35.04213483,2012,Life sciences,Ecology & Evolution,4.861,Pre-initial decision,
Burns and Fox (2017),Observational,Corresponding,Continent,Latin America,73,95,43.45238095,2012,Life sciences,Ecology & Evolution,4.861,Pre-initial decision,
Burns and Fox (2017),Observational,Corresponding,Continent,North America,223,658,25.31214529,2012,Life sciences,Ecology & Evolution,4.861,Pre-initial decision,
Burns and Fox (2017),Observational,Corresponding,Continent,Oceania,76,212,26.38888889,2012,Life sciences,Ecology & Evolution,4.861,Pre-initial decision,
Burns and Fox (2017),Observational,Last,Continent,Africa,32,30,51.61290323,2012,Life sciences,Ecology & Evolution,4.861,Pre-initial decision,
Burns and Fox (2017),Observational,Last,Continent,Asia,268,201,57.14285714,2012,Life sciences,Ecology & Evolution,4.861,Pre-initial decision,
Burns and Fox (2017),Observational,Last,Continent,Europe,529,977,35.12616202,2012,Life sciences,Ecology & Evolution,4.861,Pre-initial decision,
Burns and Fox (2017),Observational,Last,Continent,Latin America,71,102,41.04046243,2012,Life sciences,Ecology & Evolution,4.861,Pre-initial decision,
Burns and Fox (2017),Observational,Last,Continent,North America,245,727,25.20576132,2012,Life sciences,Ecology & Evolution,4.861,Pre-initial decision,
Burns and Fox (2017),Observational,Last,Continent,Oceania,79,240,24.76489028,2012,Life sciences,Ecology & Evolution,4.861,Pre-initial decision,
Fox et al. (2016),Observational,First,Gender,Male,685,1311,34.31863727,2012,Life sciences,Ecology & Evolution,4.861,Pre-initial decision,"The author gender data for Fox et al. (2016) are apparently nested within Fox and Paine (2019) except that Fox et al. (2016) provide data on if the manuscript was sent to Associate Editors (this row), time of review, etc., and looks at the impacts of assessor diversity on author outcomes by author gender"
Fox et al. (2016),Observational,First,Gender,Z_Female,522,967,35.05708529,2012,Life sciences,Ecology & Evolution,4.861,Pre-initial decision,"The author gender data for Fox et al. (2016) are apparently nested within Fox and Paine (2019) except that Fox et al. (2016) provide data on if the manuscript was sent to Associate Editors (this row), time of review, etc., and looks at the impacts of assessor diversity on author outcomes by author gender"
Fox et al. (2016),Observational,Corresponding,Gender,Male,722,1384,34.28300095,2012,Life sciences,Ecology & Evolution,4.861,Pre-initial decision,"The author gender data for Fox et al. (2016) are apparently nested within Fox and Paine (2019) except that Fox et al. (2016) provide data on if the manuscript was sent to Associate Editors (this row), time of review, etc., and looks at the impacts of assessor diversity on author outcomes by author gender"
Fox et al. (2016),Observational,Corresponding,Gender,Z_Female,448,811,35.58379666,2012,Life sciences,Ecology & Evolution,4.861,Pre-initial decision,"The author gender data for Fox et al. (2016) are apparently nested within Fox and Paine (2019) except that Fox et al. (2016) provide data on if the manuscript was sent to Associate Editors (this row), time of review, etc., and looks at the impacts of assessor diversity on author outcomes by author gender"
Fox et al. (2016),Observational,Last,Gender,Male,844,1696,33.22834646,2012,Life sciences,Ecology & Evolution,4.861,Pre-initial decision,"The author gender data for Fox et al. (2016) are apparently nested within Fox and Paine (2019) except that Fox et al. (2016) provide data on if the manuscript was sent to Associate Editors (this row), time of review, etc., and looks at the impacts of assessor diversity on author outcomes by author gender"
Fox et al. (2016),Observational,Last,Gender,Z_Female,320,532,37.55868545,2012,Life sciences,Ecology & Evolution,4.861,Pre-initial decision,"The author gender data for Fox et al. (2016) are apparently nested within Fox and Paine (2019) except that Fox et al. (2016) provide data on if the manuscript was sent to Associate Editors (this row), time of review, etc., and looks at the impacts of assessor diversity on author outcomes by author gender"
