Study,Study type,Author position,Demographic,Demographic category,Total manuscripts,Time data,Year,Category,Subcategory,Journal impact factor,Stage,Notes
Burns and Fox (2017),Observational,Corresponding,Continent,Africa,18,21.25925926,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,Average of days to review (time from accept to submitting review)
Burns and Fox (2017),Observational,Corresponding,Continent,Asia,144,20.36829837,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,Average of days to review (time from accept to submitting review)
Burns and Fox (2017),Observational,Corresponding,Continent,Europe,732,21.00422374,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,Average of days to review (time from accept to submitting review)
Burns and Fox (2017),Observational,Corresponding,Continent,Latin America,66,20.86742424,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,Average of days to review (time from accept to submitting review)
Burns and Fox (2017),Observational,Corresponding,Continent,North America,520,20.91473243,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,Average of days to review (time from accept to submitting review)
Burns and Fox (2017),Observational,Corresponding,Continent,Oceania,162,20.41409465,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,Average of days to review (time from accept to submitting review)
Burns and Fox (2017),Observational,First,Continent,Africa,20,20.575,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,Average of days to review (time from accept to submitting review)
Burns and Fox (2017),Observational,First,Continent,Asia,155,20.36580087,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,Average of days to review (time from accept to submitting review)
Burns and Fox (2017),Observational,First,Continent,Europe,749,21.06068719,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,Average of days to review (time from accept to submitting review)
Burns and Fox (2017),Observational,First,Continent,Latin America,77,20.8474026,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,Average of days to review (time from accept to submitting review)
Burns and Fox (2017),Observational,First,Continent,North America,539,20.90143035,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,Average of days to review (time from accept to submitting review)
Burns and Fox (2017),Observational,First,Continent,Oceania,165,20.71767677,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,Average of days to review (time from accept to submitting review)
Burns and Fox (2017),Observational,Last,Continent,Africa,18,22.10185185,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,Average of days to review (time from accept to submitting review)
Burns and Fox (2017),Observational,Last,Continent,Asia,135,20.48072139,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,Average of days to review (time from accept to submitting review)
Burns and Fox (2017),Observational,Last,Continent,Europe,769,20.9375,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,Average of days to review (time from accept to submitting review)
