Study,Study type,Author position,Demographic,Demographic category,Rejected,Went through to next stage,% rejected,Stage,Year,Category,Subcategory,Journal impact factor,Notes
Primack et al. (2009),Observational,Corresponding,Continent,Oceania,134,148,47.5177305,Final decision,2005.5,Life sciences,Ecology & Evolution,2.718,These numbers are from the data that the authors sent us on 12/30/2021
Primack et al. (2009),Observational,Corresponding,Continent,Europe,108,130,45.37815126,Final decision,2005.5,Life sciences,Ecology & Evolution,2.718,These numbers are from the data that the authors sent us on 12/30/2021
Primack et al. (2009),Observational,Corresponding,Continent,Africa,34,14,70.83333333,Final decision,2005.5,Life sciences,Ecology & Evolution,2.718,These numbers are from the data that the authors sent us on 12/30/2021
Primack et al. (2009),Observational,Corresponding,Continent,North America,331,328,50.2276176,Final decision,2005.5,Life sciences,Ecology & Evolution,2.718,These numbers are from the data that the authors sent us on 12/30/2021
Edwards et al. (2018),Observational,First,Continent,Africa,9,9,50,Final decision,2014,Life sciences,Ecology & Evolution,3.232,"For this dataset, the final decision total and initial decision not rejected total won't match because we had to use different columns to filter the different stages, and there are a lot of NAs in the final decision column that make this initial total not match the final total. This is a function of this dataset that is unavoidable."
Edwards et al. (2018),Observational,First,Continent,North America,334,305,52.26917058,Final decision,2014,Life sciences,Ecology & Evolution,3.232,"For this dataset, the final decision total and initial decision not rejected total won't match because we had to use different columns to filter the different stages, and there are a lot of NAs in the final decision column that make this initial total not match the final total. This is a function of this dataset that is unavoidable. This row actually represents all papers from the ""Americas,"" but we can't separate Latin from North America, so we used North America since a much larger share of papers are submitted from there in other studies. "
Edwards et al. (2018),Observational,First,Continent,Asia,120,44,73.17073171,Final decision,2014,Life sciences,Ecology & Evolution,3.232,"For this dataset, the final decision total and initial decision not rejected total won't match because we had to use different columns to filter the different stages, and there are a lot of NAs in the final decision column that make this initial total not match the final total. This is a function of this dataset that is unavoidable."
Edwards et al. (2018),Observational,First,Continent,Europe,496,528,48.4375,Final decision,2014,Life sciences,Ecology & Evolution,3.232,"For this dataset, the final decision total and initial decision not rejected total won't match because we had to use different columns to filter the different stages, and there are a lot of NAs in the final decision column that make this initial total not match the final total. This is a function of this dataset that is unavoidable."
Edwards et al. (2018),Observational,First,Continent,Oceania,62,74,45.58823529,Final decision,2014,Life sciences,Ecology & Evolution,3.232,"For this dataset, the final decision total and initial decision not rejected total won't match because we had to use different columns to filter the different stages, and there are a lot of NAs in the final decision column that make this initial total not match the final total. This is a function of this dataset that is unavoidable."
Buckley et al. (2014),Observational,Corresponding,Gender,Male,72,168,30,Final decision,2007.5,Life sciences,Ecology & Evolution,0.903,Only including manuscripts that got past desk rejection step
Buckley et al. (2014),Observational,Corresponding,Gender,Z_Female,35,81,30.17241379,Final decision,2007.5,Life sciences,Ecology & Evolution,0.903,Only including manuscripts that got past desk rejection step
Nature Neuroscience (2006),Observational,Corresponding,Gender,Z_Female,16,10,60,Final decision,2005,Health sciences,Health sciences,15.456,
Nature Neuroscience (2006),Observational,Corresponding,Gender,Male,70,42,62.2,Final decision,2005,Health sciences,Health sciences,15.456,
Primack et al. (2009),Observational,Corresponding,Gender,Z_Female,190,199,48.84318766,Final decision,2005.5,Life sciences,Ecology & Evolution,2.718,These numbers are from the data that the authors sent us on 12/30/2021
Primack et al. (2009),Observational,Corresponding,Gender,Male,378,445,45.92952612,Final decision,2005.5,Life sciences,Ecology & Evolution,2.718,These numbers are from the data that the authors sent us on 12/30/2021
Bojra (2015),Observational,First,Gender,Male,41,33,55.40540541,Final decision,2012.5,Life sciences,Other Biological Science,2.168666667,Only including manuscripts that got past desk rejection step
Bojra (2015),Observational,First,Gender,Z_Female,30,42,41.66666667,Final decision,2012.5,Life sciences,Other Biological Science,2.168666667,Only including manuscripts that got past desk rejection step
Buckley et al. (2014),Observational,First,Gender,Male,65,159,29.01785714,Final decision,2007.5,Life sciences,Ecology & Evolution,0.903,Only including manuscripts that got past desk rejection step
Buckley et al. (2014),Observational,First,Gender,Z_Female,38,90,29.6875,Final decision,2007.5,Life sciences,Ecology & Evolution,0.903,Only including manuscripts that got past desk rejection step
