Study,Study type,Author position,Demographic,Demographic category,Rejected,Went through to next stage,% rejected,Year,Category,Subcategory,Journal impact factor,Stage,Notes
Burns and Fox (2017),Observational,Corresponding,Continent,Africa,39,18,68.42105263,2012,Life sciences,Ecology & Evolution,4.861,Initial decision,
Burns and Fox (2017),Observational,Corresponding,Continent,Asia,334,144,69.87447699,2012,Life sciences,Ecology & Evolution,4.861,Initial decision,
Burns and Fox (2017),Observational,Corresponding,Continent,Europe,692,732,48.59550562,2012,Life sciences,Ecology & Evolution,4.861,Initial decision,
Burns and Fox (2017),Observational,Corresponding,Continent,Latin America,102,66,60.71428571,2012,Life sciences,Ecology & Evolution,4.861,Initial decision,
Burns and Fox (2017),Observational,Corresponding,Continent,North America,361,520,40.97616345,2012,Life sciences,Ecology & Evolution,4.861,Initial decision,
Burns and Fox (2017),Observational,Corresponding,Continent,Oceania,126,162,43.75,2012,Life sciences,Ecology & Evolution,4.861,Initial decision,
Campos-Arceiz et al. (2015),Observational,Corresponding,Continent,Asia,277,113,71,2011,Life sciences,Ecology & Evolution,4.115,Initial decision,
Campos-Arceiz et al. (2015),Observational,Corresponding,Continent,Europe,352,397,47,2011,Life sciences,Ecology & Evolution,4.115,Initial decision,
Campos-Arceiz et al. (2015),Observational,Corresponding,Continent,North America,1224,1160,51.3238255,2011,Life sciences,Ecology & Evolution,4.115,Initial decision,
Campos-Arceiz et al. (2015),Observational,Corresponding,Continent,Oceania,554,498,52.65209125,2011,Life sciences,Ecology & Evolution,4.115,Initial decision,
Primack et al. (2009),Observational,Corresponding,Continent,Oceania,112,282,28.42639594,2005.5,Life sciences,Ecology & Evolution,2.718,Initial decision,These numbers are from the data that the authors sent us on 12/30/2021
Primack et al. (2009),Observational,Corresponding,Continent,North America,290,659,30.55848261,2005.5,Life sciences,Ecology & Evolution,2.718,Initial decision,These numbers are from the data that the authors sent us on 12/30/2021
Primack et al. (2009),Observational,Corresponding,Continent,Europe,99,238,29.3768546,2005.5,Life sciences,Ecology & Evolution,2.718,Initial decision,These numbers are from the data that the authors sent us on 12/30/2021
Primack et al. (2009),Observational,Corresponding,Continent,Africa,24,48,33.33333333,2005.5,Life sciences,Ecology & Evolution,2.718,Initial decision,These numbers are from the data that the authors sent us on 12/30/2021
Burns and Fox (2017),Observational,First,Continent,Africa,43,20,68.25396825,2012,Life sciences,Ecology & Evolution,4.861,Initial decision,
Burns and Fox (2017),Observational,First,Continent,Asia,350,155,69.30693069,2012,Life sciences,Ecology & Evolution,4.861,Initial decision,
Burns and Fox (2017),Observational,First,Continent,Europe,717,749,48.90859482,2012,Life sciences,Ecology & Evolution,4.861,Initial decision,
Burns and Fox (2017),Observational,First,Continent,Latin America,111,77,59.04255319,2012,Life sciences,Ecology & Evolution,4.861,Initial decision,
