Study,Study type,Author position,Demographic,Country,Continent,Language,Percent_English,HDI,Rejected,Went through to next stage,% rejected,Year,Category,Subcategory,Journal.impact.factor,Stage,Notes
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Albania,Europe,Not_English,0.000943219,0.788,1,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Algeria,Africa,Not_English,0.058810583,0.743,3,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Argentina,Latin America,Not_English,0.156115605,0.839,57,2,96.61016949,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Tregenza (2002),Observational,First,Country,Argentina,Latin America,Not_English,0.156115605,0.763,4,1,80,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
Tregenza (2002),Observational,First,Country,Armenia,Asia,Not_English,0,0.657,1,0,100,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Armenia,Asia,Not_English,0,0.766,2,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Tregenza (2002),Observational,First,Country,Australia,Oceania,English,0.950269529,0.896,83,46,64.34108527,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Australia,Oceania,English,0.950269529,0.939,1582,157,90.97182289,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Ehara and Takahashi (2007),Observational,Corresponding,Country,Australia,Oceania,English,0.950269529,0.911,27,33,45,2004,Health sciences,Health sciences,2.384,Overall decision,"The ""accepted"" category is likely inflated because the authors used the total number of manuscripts rejected in a 2-year period for ""rejected"" but included ones still pending a decision as ""not rejected."" Mostly would reflect ""overall decision"""
Primack and Zipf (2016),Observational,Corresponding,Country,Australia,Oceania,English,0.950269529,0.928,872,382,69.53748006,2009.5,Life sciences,Ecology & Evolution,3.333,Overall decision,We emailed the author to confirm if they used corresponding author because it was not indicated in the article. They were not completely sure but thought it was corresponding because their other articles used corresponding. 
Ehara and Takahashi (2007),Observational,Corresponding,Country,Austria,Europe,Not_English,0.740294346,0.858,25,69,26.59574468,2004,Health sciences,Health sciences,2.384,Overall decision,"The ""accepted"" category is likely inflated because the authors used the total number of manuscripts rejected in a 2-year period for ""rejected"" but included ones still pending a decision as ""not rejected."" Mostly would reflect ""overall decision"""
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Austria,Europe,Not_English,0.740294346,0.917,372,54,87.32394366,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Tregenza (2002),Observational,First,Country,Austria,Europe,Not_English,0.740294346,0.837,12,6,66.66666667,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Azerbaijan,Asia,Not_English,0.000274354,0.751,3,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Bangladesh,Asia,Not_English,0.180140463,0.606,14,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Tregenza (2002),Observational,First,Country,Bangladesh,Asia,Not_English,0.180140463,0.461,1,0,100,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
Tregenza (2002),Observational,First,Country,Belgium,Europe,Not_English,0.511644425,0.873,25,12,67.56756757,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
