Study,Study type,Author position,Demographic,Demographic category,Rejected,Went through to next stage,% rejected,Year,Category,Subcategory,Journal impact factor,Stage,Notes
Bojra (2015),Observational,First,Gender,Male,50,33,60.24096386,2012.5,Life sciences,Other Biological Science,2.168666667,Overall decision,
Bojra (2015),Observational,First,Gender,Z_Female,34,42,44.73684211,2012.5,Life sciences,Other Biological Science,2.168666667,Overall decision,
Edwards et al. (2018),Observational,First,Continent,Africa,23,9,71.875,2014,Life sciences,Ecology & Evolution,3.232,Overall decision,
Edwards et al. (2018),Observational,First,Continent,North America,472,305,60.74646075,2014,Life sciences,Ecology & Evolution,3.232,Overall decision,They used “Americas” rather than Latin and North America. We reclassified to North America since other datasets that do separate them show that papers from North America are a much bigger share
Edwards et al. (2018),Observational,First,Continent,Asia,275,44,86.20689655,2014,Life sciences,Ecology & Evolution,3.232,Overall decision,
Edwards et al. (2018),Observational,First,Continent,Europe,691,528,56.68580804,2014,Life sciences,Ecology & Evolution,3.232,Overall decision,
Edwards et al. (2018),Observational,First,Continent,Oceania,82,74,52.56410256,2014,Life sciences,Ecology & Evolution,3.232,Overall decision,
Edwards et al. (2018),Observational,First,Gender,Z_Female,498,334,59.85576923,2014,Life sciences,Ecology & Evolution,3.232,Overall decision,
Edwards et al. (2018),Observational,First,Gender,Male,636,471,57.45257453,2014,Life sciences,Ecology & Evolution,3.232,Overall decision,
Edwards et al. (2018),Observational,Last,Gender,Z_Female,300,183,62.11180124,2014,Life sciences,Ecology & Evolution,3.232,Overall decision,
Edwards et al. (2018),Observational,Last,Gender,Male,863,624,58.03631473,2014,Life sciences,Ecology & Evolution,3.232,Overall decision,
Ehara and Takahashi (2007),Observational,Corresponding,Continent,Asia,718,905,44.23906346,2004,Health sciences,Health sciences,2.384,Overall decision,"The ""accepted"" category is likely inflated because the authors used the total number of manuscripts rejected in a 2-year period for ""rejected"" but included ones still pending a decision as ""not rejected."" Mostly would reflect ""overall decision"""
Ehara and Takahashi (2007),Observational,Corresponding,Continent,Oceania,27,33,45,2004,Health sciences,Health sciences,2.384,Overall decision,"The ""accepted"" category is likely inflated because the authors used the total number of manuscripts rejected in a 2-year period for ""rejected"" but included ones still pending a decision as ""not rejected."" Mostly would reflect ""overall decision"""
Ehara and Takahashi (2007),Observational,Corresponding,Continent,Europe,368,741,33.18304779,2004,Health sciences,Health sciences,2.384,Overall decision,"The ""accepted"" category is likely inflated because the authors used the total number of manuscripts rejected in a 2-year period for ""rejected"" but included ones still pending a decision as ""not rejected."" Mostly would reflect ""overall decision"""
Ehara and Takahashi (2007),Observational,Corresponding,Continent,North America,698,1752,28.48979592,2004,Health sciences,Health sciences,2.384,Overall decision,"The ""accepted"" category is likely inflated because the authors used the total number of manuscripts rejected in a 2-year period for ""rejected"" but included ones still pending a decision as ""not rejected."" Mostly would reflect ""overall decision"""
Ehara and Takahashi (2007),Observational,Corresponding,ESL_all,English_all,839,1924,30.3655447,2004,Health sciences,Health sciences,2.384,Overall decision,"The ""accepted"" category is likely inflated because the authors used the total number of manuscripts rejected in a 2-year period for ""rejected"" but included ones still pending a decision as ""not rejected."" Mostly would reflect ""overall decision"""
Ehara and Takahashi (2007),Observational,Corresponding,ESL_all,ESL_all,972,1507,39.20935861,2004,Health sciences,Health sciences,2.384,Overall decision,"The ""accepted"" category is likely inflated because the authors used the total number of manuscripts rejected in a 2-year period for ""rejected"" but included ones still pending a decision as ""not rejected."" Mostly would reflect ""overall decision"""
Ehara and Takahashi (2007),Observational,Corresponding,ESL_similarHDI,English_similarHDI,781,1903,29.09836066,2004,Health sciences,Health sciences,2.384,Overall decision,"The ""accepted"" category is likely inflated because the authors used the total number of manuscripts rejected in a 2-year period for ""rejected"" but included ones still pending a decision as ""not rejected."" Mostly would reflect ""overall decision"""
Ehara and Takahashi (2007),Observational,Corresponding,ESL_similarHDI,ESL_similarHDI,740,1296,36.34577603,2004,Health sciences,Health sciences,2.384,Overall decision,"The ""accepted"" category is likely inflated because the authors used the total number of manuscripts rejected in a 2-year period for ""rejected"" but included ones still pending a decision as ""not rejected."" Mostly would reflect ""overall decision"""
Garfunkel et al. (1994),Observational,Corresponding,Prestige_institution,Z_High Prestige,102,50,67.34868421,1992,Health sciences,Health sciences,5.168,Overall decision,"The paper presents data using five prestige bins separated using quintiles. We combined the three middle groups to align the categories with other studies on institutional prestige. The study also doesn't specify author position used. The Discussion text suggests that all papers were from single institutions, so we repeated the rows for all authors. "
Garfunkel et al. (1994),Observational,Corresponding,Prestige_institution,Middle Prestige,167,45,78.94811321,1992,Health sciences,Health sciences,5.168,Overall decision,"The paper presents data using five prestige bins separated using quintiles. We combined the three middle groups to align the categories with other studies on institutional prestige. The study also doesn't specify author position used. The Discussion text suggests that all papers were from single institutions, so we repeated the rows for all authors. "
Garfunkel et al. (1994),Observational,Corresponding,Prestige_institution,Low Prestige,34,8,81.70731707,1992,Health sciences,Health sciences,5.168,Overall decision,"The paper presents data using five prestige bins separated using quintiles. We combined the three middle groups to align the categories with other studies on institutional prestige. The study also doesn't specify author position used. The Discussion text suggests that all papers were from single institutions, so we repeated the rows for all authors. "
Garfunkel et al. (1994),Observational,First,Prestige_institution,Z_High Prestige,102,50,67.34868421,1992,Health sciences,Health sciences,5.168,Overall decision,"The paper presents data using five prestige bins separated using quintiles. We combined the three middle groups to align the categories with other studies on institutional prestige. The study also doesn't specify author position used. The Discussion text suggests that all papers were from single institutions, so we repeated the rows for all authors. "
Garfunkel et al. (1994),Observational,First,Prestige_institution,Middle Prestige,167,45,78.94811321,1992,Health sciences,Health sciences,5.168,Overall decision,"The paper presents data using five prestige bins separated using quintiles. We combined the three middle groups to align the categories with other studies on institutional prestige. The study also doesn't specify author position used. The Discussion text suggests that all papers were from single institutions, so we repeated the rows for all authors. "
Garfunkel et al. (1994),Observational,First,Prestige_institution,Low Prestige,34,8,81.70731707,1992,Health sciences,Health sciences,5.168,Overall decision,"The paper presents data using five prestige bins separated using quintiles. We combined the three middle groups to align the categories with other studies on institutional prestige. The study also doesn't specify author position used. The Discussion text suggests that all papers were from single institutions, so we repeated the rows for all authors. "
Garfunkel et al. (1994),Observational,Last,Prestige_institution,Z_High Prestige,102,50,67.34868421,1992,Health sciences,Health sciences,5.168,Overall decision,"The paper presents data using five prestige bins separated using quintiles. We combined the three middle groups to align the categories with other studies on institutional prestige. The study also doesn't specify author position used. The Discussion text suggests that all papers were from single institutions, so we repeated the rows for all authors. "
Garfunkel et al. (1994),Observational,Last,Prestige_institution,Middle Prestige,167,45,78.94811321,1992,Health sciences,Health sciences,5.168,Overall decision,"The paper presents data using five prestige bins separated using quintiles. We combined the three middle groups to align the categories with other studies on institutional prestige. The study also doesn't specify author position used. The Discussion text suggests that all papers were from single institutions, so we repeated the rows for all authors. "
Garfunkel et al. (1994),Observational,Last,Prestige_institution,Low Prestige,34,8,81.70731707,1992,Health sciences,Health sciences,5.168,Overall decision,"The paper presents data using five prestige bins separated using quintiles. We combined the three middle groups to align the categories with other studies on institutional prestige. The study also doesn't specify author position used. The Discussion text suggests that all papers were from single institutions, so we repeated the rows for all authors. "
Goldstone et al. (2020),Observational,First,Gender,Male,526,304,63.37349398,2016.5,Health sciences,Health sciences,2.845,Overall decision,"Had data on internal and external reviews but seems to be able to entirely bypass the external reviewer stage, so it doesn't really chart onto the other journal models in the study. They classified papers as female if first and/or corresponding authors were female. They had 470 papers that had first and/or corresponding female authors. Women were first authors of 424 (90.2%) and corresponding on 371 (78.9%). They don’t provide summaries for just first or just corresponding (only and/or). The first author was the same as the corresponding author for 820/1300 (63%) manuscripts they included. We used FIRST author due to the higher overlap. "
Goldstone et al. (2020),Observational,First,Gender,Z_Female,317,153,67.44680851,2016.5,Health sciences,Health sciences,2.845,Overall decision,"Had data on internal and external reviews but seems to be able to entirely bypass the external reviewer stage, so it doesn't really chart onto the other journal models in the study. They classified papers as female if first and/or corresponding authors were female. They had 470 papers that had first and/or corresponding female authors. Women were first authors of 424 (90.2%) and corresponding on 371 (78.9%). They don’t provide summaries for just first or just corresponding (only and/or). The first author was the same as the corresponding author for 820/1300 (63%) manuscripts they included. We used FIRST author due to the higher overlap. "
Handley et al. (2015),Observational,First,Gender,Z_Female,313,436,41.8,2006.5,Life sciences,Other Biological Science,0.975875,Overall decision,
Handley et al. (2015),Observational,First,Gender,Male,1318,2197,37.5,2006.5,Life sciences,Other Biological Science,0.975875,Overall decision,
McGillivray and De Ranieri (2018),Observational,Corresponding,Continent,Africa,123,5,96.09375,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Continent,Asia,17623,906,95.11036753,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Continent,Europe,18117,2183,89.24630542,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Continent,Latin America,494,17,96.67318982,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
