Study,Study.type,Author.position,Demographic,Country,Continent,Language,Percent_English,HDI,Reviewer.ordinal.scores,Min.value,Max.value,Reviewer_rescaled,Total.manuscripts,Accept,Minor.revision,Major.revision,Reject.with.invitation.to.resubmit,Reject,Year,Category,Subcategory,Journal.impact.factor,Stage,Notes
Opthof et al. (2002),Observational,First,Country,Australia,Oceania,English,0.950269529,0.9,63.93,0,100,0.6393,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so I converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. The study excluded all manuscripts that weren't from authors from all the same country, so the same values are repeated for each author position"
Opthof et al. (2002),Observational,Last,Country,Australia,Oceania,English,0.950269529,0.9,63.93,0,100,0.6393,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so I converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. The study excluded all manuscripts that weren't from authors from all the same country, so the same values are repeated for each author position"
Opthof et al. (2002),Observational,Corresponding,Country,Australia,Oceania,English,0.950269529,0.9,63.93,0,100,0.6393,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so I converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. The study excluded all manuscripts that weren't from authors from all the same country, so the same values are repeated for each author position"
Opthof et al. (2002),Observational,Last,Country,Canada,North America,English,0.795880839,0.864,58.93,0,100,0.5893,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so I converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. The study excluded all manuscripts that weren't from authors from all the same country, so the same values are repeated for each author position"
Opthof et al. (2002),Observational,First,Country,Canada,North America,English,0.795880839,0.864,58.93,0,100,0.5893,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so I converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. The study excluded all manuscripts that weren't from authors from all the same country, so the same values are repeated for each author position"
Opthof et al. (2002),Observational,Corresponding,Country,Canada,North America,English,0.795880839,0.864,58.93,0,100,0.5893,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so I converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. The study excluded all manuscripts that weren't from authors from all the same country, so the same values are repeated for each author position"
Opthof et al. (2002),Observational,Last,Country,France,Europe,Not_English,0.406987724,0.851,60.93,0,100,0.6093,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so I converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. The study excluded all manuscripts that weren't from authors from all the same country, so the same values are repeated for each author position"
Opthof et al. (2002),Observational,First,Country,France,Europe,Not_English,0.406987724,0.851,60.93,0,100,0.6093,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so I converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. The study excluded all manuscripts that weren't from authors from all the same country, so the same values are repeated for each author position"
Opthof et al. (2002),Observational,Corresponding,Country,France,Europe,Not_English,0.406987724,0.851,60.93,0,100,0.6093,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so I converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. The study excluded all manuscripts that weren't from authors from all the same country, so the same values are repeated for each author position"
Opthof et al. (2002),Observational,Last,Country,Germany,Europe,Not_English,0.586791396,0.868,62.93,0,100,0.6293,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so I converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. The study excluded all manuscripts that weren't from authors from all the same country, so the same values are repeated for each author position"
Opthof et al. (2002),Observational,First,Country,Germany,Europe,Not_English,0.586791396,0.868,62.93,0,100,0.6293,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so I converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. The study excluded all manuscripts that weren't from authors from all the same country, so the same values are repeated for each author position"
Opthof et al. (2002),Observational,Corresponding,Country,Germany,Europe,Not_English,0.586791396,0.868,62.93,0,100,0.6293,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so I converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. The study excluded all manuscripts that weren't from authors from all the same country, so the same values are repeated for each author position"
Opthof et al. (2002),Observational,First,Country,Italy,Europe,Not_English,0.3503861,0.832,82.93,0,100,0.8293,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so I converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. The study excluded all manuscripts that weren't from authors from all the same country, so the same values are repeated for each author position"
Opthof et al. (2002),Observational,Corresponding,Country,Italy,Europe,Not_English,0.3503861,0.832,82.93,0,100,0.8293,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so I converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. The study excluded all manuscripts that weren't from authors from all the same country, so the same values are repeated for each author position"
Opthof et al. (2002),Observational,Last,Country,Italy,Europe,Not_English,0.3503861,0.832,82.93,0,100,0.8293,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so I converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. The study excluded all manuscripts that weren't from authors from all the same country, so the same values are repeated for each author position"
Opthof et al. (2002),Observational,First,Country,Japan,Asia,Not_English,0.087429058,0.852,66.93,0,100,0.6693,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so I converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. The study excluded all manuscripts that weren't from authors from all the same country, so the same values are repeated for each author position"
Opthof et al. (2002),Observational,Corresponding,Country,Japan,Asia,Not_English,0.087429058,0.852,66.93,0,100,0.6693,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so I converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. The study excluded all manuscripts that weren't from authors from all the same country, so the same values are repeated for each author position"
Opthof et al. (2002),Observational,Last,Country,Japan,Asia,Not_English,0.087429058,0.852,66.93,0,100,0.6693,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so I converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. The study excluded all manuscripts that weren't from authors from all the same country, so the same values are repeated for each author position"
Opthof et al. (2002),Observational,Last,Country,Netherlands,Europe,Not_English,0.90729783,0.877,48.93,0,100,0.4893,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so I converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. The study excluded all manuscripts that weren't from authors from all the same country, so the same values are repeated for each author position"
Opthof et al. (2002),Observational,First,Country,Netherlands,Europe,Not_English,0.90729783,0.877,48.93,0,100,0.4893,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so I converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. The study excluded all manuscripts that weren't from authors from all the same country, so the same values are repeated for each author position"
Opthof et al. (2002),Observational,Corresponding,Country,Netherlands,Europe,Not_English,0.90729783,0.877,48.93,0,100,0.4893,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so I converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. The study excluded all manuscripts that weren't from authors from all the same country, so the same values are repeated for each author position"
Opthof et al. (2002),Observational,First,Country,Sweden,Europe,Not_English,0.877952756,0.899,94.93,0,100,0.9493,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so I converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. The study excluded all manuscripts that weren't from authors from all the same country, so the same values are repeated for each author position"
Opthof et al. (2002),Observational,Corresponding,Country,Sweden,Europe,Not_English,0.877952756,0.899,94.93,0,100,0.9493,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so I converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. The study excluded all manuscripts that weren't from authors from all the same country, so the same values are repeated for each author position"
Opthof et al. (2002),Observational,Last,Country,Sweden,Europe,Not_English,0.877952756,0.899,94.93,0,100,0.9493,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so I converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. The study excluded all manuscripts that weren't from authors from all the same country, so the same values are repeated for each author position"
Opthof et al. (2002),Observational,First,Country,United Kingdom,Europe,English,1,0.868,51.93,0,100,0.5193,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so I converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. The study excluded all manuscripts that weren't from authors from all the same country, so the same values are repeated for each author position"
Opthof et al. (2002),Observational,Corresponding,Country,United Kingdom,Europe,English,1,0.868,51.93,0,100,0.5193,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so I converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. The study excluded all manuscripts that weren't from authors from all the same country, so the same values are repeated for each author position"
Opthof et al. (2002),Observational,Last,Country,United Kingdom,Europe,English,1,0.868,51.93,0,100,0.5193,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so I converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. The study excluded all manuscripts that weren't from authors from all the same country, so the same values are repeated for each author position"
Opthof et al. (2002),Observational,First,Country,United States,North America,English,0.919915903,0.89,52.93,0,100,0.5293,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so I converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. The study excluded all manuscripts that weren't from authors from all the same country, so the same values are repeated for each author position"
Opthof et al. (2002),Observational,Last,Country,United States,North America,English,0.919915903,0.89,52.93,0,100,0.5293,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so I converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. The study excluded all manuscripts that weren't from authors from all the same country, so the same values are repeated for each author position"
Opthof et al. (2002),Observational,Corresponding,Country,United States,North America,English,0.919915903,0.89,52.93,0,100,0.5293,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so I converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. The study excluded all manuscripts that weren't from authors from all the same country, so the same values are repeated for each author position"
