Study,Study type,Author position,Demographic,Demographic.category,Rejected,Went through to next stage,% rejected,Blinding format,Blinding,Year,Category,Subcategory,Journal impact factor,Stage,Notes
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,3440,2371,59.19807262,Double,NA,2013,Health sciences,Health sciences,1,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,2746,1662,62.29582577,Double,NA,2013,Health sciences,Health sciences,2,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,701,623,52.94561934,Double,NA,2013,Health sciences,Health sciences,3,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,27,43,38.57142857,Double,NA,2013,Health sciences,Health sciences,4,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,27,52,34.17721519,Double,NA,2013,Health sciences,Health sciences,5,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,4066,2832,58.94462163,Double,NA,2013,Health sciences,Health sciences,1,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,3333,2000,62.4976561,Double,NA,2013,Health sciences,Health sciences,2,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,868,802,51.9760479,Double,NA,2013,Health sciences,Health sciences,3,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,33,50,39.75903614,Double,NA,2013,Health sciences,Health sciences,4,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,31,59,34.44444444,Double,NA,2013,Health sciences,Health sciences,5,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,2928,2173,57.4005097,Double,NA,2013,Health sciences,Health sciences,1,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,7359,3451,68.07585569,Double,NA,2013,Health sciences,Health sciences,2,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,803,682,54.07407407,Double,NA,2013,Health sciences,Health sciences,3,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,60,86,41.09589041,Double,NA,2013,Health sciences,Health sciences,4,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,42,74,36.20689655,Double,NA,2013,Health sciences,Health sciences,5,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,2435,1778,57.79729409,Double,NA,2013,Health sciences,Health sciences,1,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,6983,3197,68.59528487,Double,NA,2013,Health sciences,Health sciences,2,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,654,548,54.4093178,Double,NA,2013,Health sciences,Health sciences,3,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,54,70,43.5483871,Double,NA,2013,Health sciences,Health sciences,4,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,44,72,37.93103448,Double,NA,2013,Health sciences,Health sciences,5,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,135,192,41.28440367,Double,NA,2013,Life sciences,Life sciences,2,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,345,470,42.33128834,Double,NA,2013,Life sciences,Life sciences,3,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,33,27,55,Double,NA,2013,Life sciences,Life sciences,4,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,81,63,56.25,Double,NA,2013,Life sciences,Life sciences,5,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,37,34,52.11267606,Double,NA,2013,Life sciences,Life sciences,6,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,34,57,37.36263736,Double,NA,2013,Life sciences,Life sciences,7,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,169,215,44.01041667,Double,NA,2013,Life sciences,Life sciences,2,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,406,542,42.82700422,Double,NA,2013,Life sciences,Life sciences,3,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,76,63,54.67625899,Double,NA,2013,Life sciences,Life sciences,4,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,162,148,52.25806452,Double,NA,2013,Life sciences,Life sciences,5,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,81,65,55.47945205,Double,NA,2013,Life sciences,Life sciences,6,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,75,104,41.89944134,Double,NA,2013,Life sciences,Life sciences,7,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,240,323,42.62877442,Double,NA,2013,Life sciences,Life sciences,2,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,526,698,42.97385621,Double,NA,2013,Life sciences,Life sciences,3,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,133,106,55.64853556,Double,NA,2013,Life sciences,Life sciences,4,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,340,332,50.5952381,Double,NA,2013,Life sciences,Life sciences,5,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,180,130,58.06451613,Double,NA,2013,Life sciences,Life sciences,6,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,179,255,41.24423963,Double,NA,2013,Life sciences,Life sciences,7,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,230,300,43.39622642,Double,NA,2013,Life sciences,Life sciences,2,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,471,664,41.49779736,Double,NA,2013,Life sciences,Life sciences,3,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,95,67,58.64197531,Double,NA,2013,Life sciences,Life sciences,4,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,265,249,51.55642023,Double,NA,2013,Life sciences,Life sciences,5,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,145,102,58.70445344,Double,NA,2013,Life sciences,Life sciences,6,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,141,210,40.17094017,Double,NA,2013,Life sciences,Life sciences,7,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,492,556,46.94656489,Single,NA,2013,Health sciences,Health sciences,1,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,2787,1764,61.23928807,Single,NA,2013,Health sciences,Health sciences,2,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,1735,1614,51.80650941,Single,NA,2013,Health sciences,Health sciences,3,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,4493,3352,57.27214786,Single,NA,2013,Health sciences,Health sciences,4,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,1088,1029,51.39348134,Single,NA,2013,Health sciences,Health sciences,5,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,664,541,55.10373444,Single,NA,2013,Health sciences,Health sciences,6,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,288,187,60.63157895,Single,NA,2013,Health sciences,Health sciences,7,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,709,811,46.64473684,Single,NA,2013,Health sciences,Health sciences,1,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,3599,2536,58.66340668,Single,NA,2013,Health sciences,Health sciences,2,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,2494,2438,50.56772101,Single,NA,2013,Health sciences,Health sciences,3,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,5775,4357,56.99763127,Single,NA,2013,Health sciences,Health sciences,4,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,1465,1373,51.62085976,Single,NA,2013,Health sciences,Health sciences,5,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,833,660,55.79370395,Single,NA,2013,Health sciences,Health sciences,6,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,334,206,61.85185185,Single,NA,2013,Health sciences,Health sciences,7,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,1110,1121,49.75347378,Single,NA,2013,Health sciences,Health sciences,1,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,6790,4269,61.39795642,Single,NA,2013,Health sciences,Health sciences,2,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,4191,4328,49.19591501,Single,NA,2013,Health sciences,Health sciences,3,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,7576,5710,57.02242963,Single,NA,2013,Health sciences,Health sciences,4,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,2475,2241,52.48091603,Single,NA,2013,Health sciences,Health sciences,5,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,1802,1513,54.35897436,Single,NA,2013,Health sciences,Health sciences,6,Final decision,Unclear if journals included have optional or mandatory double-blind
