Study,Study type,Author position,Demographic,Demographic.category,Total manuscripts,N.revisions,Blinding.format,Blinding type,Year,Category,Subcategory,Journal impact factor,Stage,Notes
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,6898,0.767033923,Double,NA,2013,Health sciences,Health sciences,1,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,5333,0.524282768,Double,NA,2013,Health sciences,Health sciences,2,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,1670,0.743712575,Double,NA,2013,Health sciences,Health sciences,3,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,83,0.855421687,Double,NA,2013,Health sciences,Health sciences,4,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,90,1,Double,NA,2013,Health sciences,Health sciences,5,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,5811,0.759765961,Double,NA,2013,Health sciences,Health sciences,1,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,4408,0.529491833,Double,NA,2013,Health sciences,Health sciences,2,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,1324,0.751510574,Double,NA,2013,Health sciences,Health sciences,3,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,70,0.957142857,Double,NA,2013,Health sciences,Health sciences,4,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,79,1.025316456,Double,NA,2013,Health sciences,Health sciences,5,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,1520,0.961184211,Single,NA,2013,Health sciences,Health sciences,1,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,6135,0.631295844,Single,NA,2013,Health sciences,Health sciences,2,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,4932,0.763584753,Single,NA,2013,Health sciences,Health sciences,3,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,10132,0.679332807,Single,NA,2013,Health sciences,Health sciences,4,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,2838,0.715997181,Single,NA,2013,Health sciences,Health sciences,5,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,1493,0.537173476,Single,NA,2013,Health sciences,Health sciences,6,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,540,0.466666667,Single,NA,2013,Health sciences,Health sciences,7,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,1048,0.971374046,Single,NA,2013,Health sciences,Health sciences,1,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,4551,0.595693254,Single,NA,2013,Health sciences,Health sciences,2,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,3349,0.750373246,Single,NA,2013,Health sciences,Health sciences,3,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,7845,0.688973869,Single,NA,2013,Health sciences,Health sciences,4,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,2117,0.717997166,Single,NA,2013,Health sciences,Health sciences,5,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,1205,0.514522822,Single,NA,2013,Health sciences,Health sciences,6,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,475,0.482105263,Single,NA,2013,Health sciences,Health sciences,7,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,4213,0.678139093,Double,NA,2013,Health sciences,Health sciences,1,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,10180,0.38064833,Double,NA,2013,Health sciences,Health sciences,2,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,1202,0.709650582,Double,NA,2013,Health sciences,Health sciences,3,Number of revisions,Unclear if journals included have optional or mandatory double-blind
