Study,Study.type,Author.position,Demographic,Country,Continent,Language,Percent_English,HDI,Rejected,Went.through.to.next.stage,X..rejected,Blinding.format,Blinding,Year,Category,Subcategory,Journal.impact.factor,Stage,Notes.on.prevalence.type.data
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Dominican Republic,Latin America,Not_English,0.004695369,0.743,1,0,100,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Kenya,Africa,English,0.079285702,0.591,1,0,100,Double,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Kenya,Africa,English,0.079285702,0.591,10,0,100,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Albania,Europe,Not_English,0.000943219,0.788,1,0,100,Double,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Albania,Europe,Not_English,0.000943219,0.788,1,0,100,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Algeria,Africa,Not_English,0.058810583,0.743,3,0,100,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Algeria,Africa,Not_English,0.058810583,0.743,2,0,100,Double,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Argentina,Latin America,Not_English,0.156115605,0.839,13,0,100,Double,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Argentina,Latin America,Not_English,0.156115605,0.839,57,2,96.61016949,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Armenia,Asia,Not_English,0,0.766,2,0,100,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
