Study,Study type,Author position,Demographic,Demographic.category,Rejected,Went through to next stage,% rejected,Blinding format,Blinding,Year,Category,Subcategory,Journal impact factor,Stage,Notes
Jagsi et al. (2014),Observational before/after,Corresponding,Gender,Male,77,38,66.95652174,Single,Required_double,2011,Health sciences,Health sciences,4.105,Post initial review,
Jagsi et al. (2014),Observational before/after,Corresponding,Gender,Z_Female,23,14,62.16216216,Single,Required_double,2011,Health sciences,Health sciences,4.105,Post initial review,
Jagsi et al. (2014),Observational before/after,Corresponding,Gender,Male,70,22,76.08695652,Double,Required_double,2012,Health sciences,Health sciences,4.524,Post initial review,
Jagsi et al. (2014),Observational before/after,Corresponding,Gender,Z_Female,36,12,75,Double,Required_double,2012,Health sciences,Health sciences,4.524,Post initial review,
Jagsi et al. (2014),Observational before/after,First,Gender,Male,69,37,65.09433962,Single,Required_double,2011,Health sciences,Health sciences,4.105,Post initial review,
Jagsi et al. (2014),Observational before/after,First,Gender,Z_Female,26,14,65,Single,Required_double,2011,Health sciences,Health sciences,4.105,Post initial review,
Jagsi et al. (2014),Observational before/after,First,Gender,Male,66,20,76.74418605,Double,Required_double,2012,Health sciences,Health sciences,4.524,Post initial review,
Jagsi et al. (2014),Observational before/after,First,Gender,Z_Female,39,12,76.47058824,Double,Required_double,2012,Health sciences,Health sciences,4.524,Post initial review,
Jagsi et al. (2014),Observational before/after,Last,Gender,Male,77,43,64.16666667,Single,Required_double,2011,Health sciences,Health sciences,4.105,Post initial review,
Jagsi et al. (2014),Observational before/after,Last,Gender,Z_Female,23,10,69.6969697,Single,Required_double,2011,Health sciences,Health sciences,4.105,Post initial review,
Jagsi et al. (2014),Observational before/after,Last,Gender,Male,80,22,78.43137255,Double,Required_double,2012,Health sciences,Health sciences,4.524,Post initial review,
Jagsi et al. (2014),Observational before/after,Last,Gender,Z_Female,23,12,65.71428571,Double,Required_double,2012,Health sciences,Health sciences,4.524,Post initial review,
Jagsi et al. (2014),Observational before/after,Corresponding,Prestige_author,Prestigious,55,24,69.62025316,Single,Required_double,2011,Health sciences,Health sciences,4.105,Post initial review,
Jagsi et al. (2014),Observational before/after,Corresponding,Prestige_author,Not Prestigious,46,29,61.33333333,Single,Required_double,2011,Health sciences,Health sciences,4.105,Post initial review,
Jagsi et al. (2014),Observational before/after,Corresponding,Prestige_author,Prestigious,38,17,69.09090909,Double,Required_double,2012,Health sciences,Health sciences,4.524,Post initial review,
Jagsi et al. (2014),Observational before/after,Corresponding,Prestige_author,Not Prestigious,69,17,80.23255814,Double,Required_double,2012,Health sciences,Health sciences,4.524,Post initial review,
Jagsi et al. (2014),Observational before/after,First,Prestige_author,Prestigious,41,27,60.29411765,Single,Required_double,2011,Health sciences,Health sciences,4.105,Post initial review,
Jagsi et al. (2014),Observational before/after,First,Prestige_author,Not Prestigious,60,26,69.76744186,Single,Required_double,2011,Health sciences,Health sciences,4.105,Post initial review,
Jagsi et al. (2014),Observational before/after,First,Prestige_author,Prestigious,46,18,71.875,Double,Required_double,2012,Health sciences,Health sciences,4.524,Post initial review,
Jagsi et al. (2014),Observational before/after,First,Prestige_author,Not Prestigious,61,16,79.22077922,Double,Required_double,2012,Health sciences,Health sciences,4.524,Post initial review,
Jagsi et al. (2014),Observational before/after,Last,Prestige_author,Prestigious,42,33,56,Single,Required_double,2011,Health sciences,Health sciences,4.105,Post initial review,
Jagsi et al. (2014),Observational before/after,Last,Prestige_author,Not Prestigious,59,20,74.6835443,Single,Required_double,2011,Health sciences,Health sciences,4.105,Post initial review,
Jagsi et al. (2014),Observational before/after,Last,Prestige_author,Prestigious,50,20,71.42857143,Double,Required_double,2012,Health sciences,Health sciences,4.524,Post initial review,
Jagsi et al. (2014),Observational before/after,Last,Prestige_author,Not Prestigious,57,14,80.28169014,Double,Required_double,2012,Health sciences,Health sciences,4.524,Post initial review,
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,2821,4077,40.89591186,Double,NA,2013,Health sciences,Health sciences,1,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,2100,3233,39.37746109,Double,NA,2013,Health sciences,Health sciences,2,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,498,1172,29.82035928,Double,NA,2013,Health sciences,Health sciences,3,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,28,55,33.73493976,Double,NA,2013,Health sciences,Health sciences,4,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,21,69,23.33333333,Double,NA,2013,Health sciences,Health sciences,5,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,1882,2331,44.67125564,Double,NA,2013,Health sciences,Health sciences,1,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,4549,5631,44.68565815,Double,NA,2013,Health sciences,Health sciences,2,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,370,832,30.78202995,Double,NA,2013,Health sciences,Health sciences,3,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,43,81,34.67741935,Double,NA,2013,Health sciences,Health sciences,4,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,40,76,34.48275862,Double,NA,2013,Health sciences,Health sciences,5,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,551,969,36.25,Single,NA,2013,Health sciences,Health sciences,1,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,3042,3093,49.58435208,Single,NA,2013,Health sciences,Health sciences,2,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,2008,2924,40.71370641,Single,NA,2013,Health sciences,Health sciences,3,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,5110,5022,50.43426767,Single,NA,2013,Health sciences,Health sciences,4,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,1185,1653,41.75475687,Single,NA,2013,Health sciences,Health sciences,5,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,603,890,40.38847957,Single,NA,2013,Health sciences,Health sciences,6,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,227,313,42.03703704,Single,NA,2013,Health sciences,Health sciences,7,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,719,1135,38.78101402,Single,NA,2013,Health sciences,Health sciences,1,Post-initial review,Unclear if journals included have optional or mandatory double-blind
