Study,Study type,Author position,Demographic,Demographic.category,Reviewer ordinal scores,Min value,Max value,Reviewer_rescaled,Total manuscripts,Accept,Minor revision,Major revision,Reject with invitation to resubmit,Reject,Blinding format,Blinding,Year,Category,Subcategory,Journal impact factor,Stage,Notes
Squazzoni et al. (2021),Observational,First,Gender,Male,0.647332996,0,1,0.647332996,4213,NA,NA,NA,NA,NA,Double,NA,2013,Health sciences,Health sciences,1,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Male,0.648885828,0,1,0.648885828,10180,NA,NA,NA,NA,NA,Double,NA,2013,Health sciences,Health sciences,2,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Male,0.659874193,0,1,0.659874193,1202,NA,NA,NA,NA,NA,Double,NA,2013,Health sciences,Health sciences,3,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Male,0.590554501,0,1,0.590554501,124,NA,NA,NA,NA,NA,Double,NA,2013,Health sciences,Health sciences,4,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Male,0.604852861,0,1,0.604852861,116,NA,NA,NA,NA,NA,Double,NA,2013,Health sciences,Health sciences,5,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Male,0.641286217,0,1,0.641286217,5101,NA,NA,NA,NA,NA,Double,NA,2013,Health sciences,Health sciences,1,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Male,0.642388003,0,1,0.642388003,10810,NA,NA,NA,NA,NA,Double,NA,2013,Health sciences,Health sciences,2,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Male,0.656162122,0,1,0.656162122,1485,NA,NA,NA,NA,NA,Double,NA,2013,Health sciences,Health sciences,3,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Male,0.555283757,0,1,0.555283757,146,NA,NA,NA,NA,NA,Double,NA,2013,Health sciences,Health sciences,4,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Male,0.58038129,0,1,0.58038129,116,NA,NA,NA,NA,NA,Double,NA,2013,Health sciences,Health sciences,5,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
