Study,Study type,Author position,Demographic,Demographic category,Assessor,Reviewer demographic,Rejected,Went through to next stage,% rejected,Year,Category,Subcategory,Journal impact factor,Stage,Notes
Bojra (2015),Observational,First,Gender_1,Male,Reviewer,Male,40,31,56.33802817,2012.5,Life sciences,Other Biological Science,2.168666667,Final decision,"The study considered ""minor revision"" to be ""accepted,"" and we can't separate ""minor revision"" from ""accepted"" as a function of the study's data presentation. The text says that editors can accept a study with ""minor revision"" without re-review, so it should reflect ""accept"" "
Bojra (2015),Observational,First,Gender_1,Z_Female,Reviewer,Male,32,36,47.05882353,2012.5,Life sciences,Other Biological Science,2.168666667,Final decision,"The study considered ""minor revision"" to be ""accepted,"" and we can't separate ""minor revision"" from ""accepted"" as a function of the study's data presentation. The text says that editors can accept a study with ""minor revision"" without re-review, so it should reflect ""accept"" "
Bojra (2015),Observational,First,Gender_1,Male,Reviewer,Z_Female,20,12,62.5,2012.5,Life sciences,Other Biological Science,2.168666667,Final decision,"The study considered ""minor revision"" to be ""accepted,"" and we can't separate ""minor revision"" from ""accepted"" as a function of the study's data presentation. The text says that editors can accept a study with ""minor revision"" without re-review, so it should reflect ""accept"" "
Bojra (2015),Observational,First,Gender_1,Z_Female,Reviewer,Z_Female,13,28,31.70731707,2012.5,Life sciences,Other Biological Science,2.168666667,Final decision,"The study considered ""minor revision"" to be ""accepted,"" and we can't separate ""minor revision"" from ""accepted"" as a function of the study's data presentation. The text says that editors can accept a study with ""minor revision"" without re-review, so it should reflect ""accept"" "
Edwards et al. (2018),Observational,First,Gender_1,Z_Female,Reviewer,Male,337,258,56.63865546,2014,Life sciences,Ecology & Evolution,3.232,Final decision,"For this dataset, the final decision total and initial decision not rejected total won't match because we had to use different columns to filter the different stages, and there are a lot of NAs in the final decision column that make this initial total not match the final total. This is a function of this dataset that is unavoidable."
Edwards et al. (2018),Observational,First,Gender_1,Male,Reviewer,Male,409,387,51.38190955,2014,Life sciences,Ecology & Evolution,3.232,Final decision,"For this dataset, the final decision total and initial decision not rejected total won't match because we had to use different columns to filter the different stages, and there are a lot of NAs in the final decision column that make this initial total not match the final total. This is a function of this dataset that is unavoidable."
Edwards et al. (2018),Observational,First,Gender_1,Z_Female,Reviewer,Z_Female,201,139,59.11764706,2014,Life sciences,Ecology & Evolution,3.232,Final decision,"For this dataset, the final decision total and initial decision not rejected total won't match because we had to use different columns to filter the different stages, and there are a lot of NAs in the final decision column that make this initial total not match the final total. This is a function of this dataset that is unavoidable."
Edwards et al. (2018),Observational,First,Gender_1,Male,Reviewer,Z_Female,235,149,61.19791667,2014,Life sciences,Ecology & Evolution,3.232,Final decision,"For this dataset, the final decision total and initial decision not rejected total won't match because we had to use different columns to filter the different stages, and there are a lot of NAs in the final decision column that make this initial total not match the final total. This is a function of this dataset that is unavoidable."
Edwards et al. (2018),Observational,Last,Gender_1,Z_Female,Reviewer,Male,196,138,58.68263473,2014,Life sciences,Ecology & Evolution,3.232,Final decision,"For this dataset, the final decision total and initial decision not rejected total won't match because we had to use different columns to filter the different stages, and there are a lot of NAs in the final decision column that make this initial total not match the final total. This is a function of this dataset that is unavoidable."
Edwards et al. (2018),Observational,Last,Gender_1,Male,Reviewer,Male,562,512,52.32774674,2014,Life sciences,Ecology & Evolution,3.232,Final decision,"For this dataset, the final decision total and initial decision not rejected total won't match because we had to use different columns to filter the different stages, and there are a lot of NAs in the final decision column that make this initial total not match the final total. This is a function of this dataset that is unavoidable."
Edwards et al. (2018),Observational,Last,Gender_1,Z_Female,Reviewer,Z_Female,114,71,61.62162162,2014,Life sciences,Ecology & Evolution,3.232,Final decision,"For this dataset, the final decision total and initial decision not rejected total won't match because we had to use different columns to filter the different stages, and there are a lot of NAs in the final decision column that make this initial total not match the final total. This is a function of this dataset that is unavoidable."
Edwards et al. (2018),Observational,Last,Gender_1,Male,Reviewer,Z_Female,320,220,59.25925926,2014,Life sciences,Ecology & Evolution,3.232,Final decision,"For this dataset, the final decision total and initial decision not rejected total won't match because we had to use different columns to filter the different stages, and there are a lot of NAs in the final decision column that make this initial total not match the final total. This is a function of this dataset that is unavoidable."
Edwards et al. (2018),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,201,139,59.11764706,2014,Life sciences,Ecology & Evolution,3.232,Final decision,"For this dataset, the final decision total and initial decision not rejected total won't match because we had to use different columns to filter the different stages, and there are a lot of NAs in the final decision column that make this initial total not match the final total. This is a function of this dataset that is unavoidable."
Edwards et al. (2018),Observational,First,Gender_2,Male,Reviewer,1+ Female,235,149,61.19791667,2014,Life sciences,Ecology & Evolution,3.232,Final decision,"For this dataset, the final decision total and initial decision not rejected total won't match because we had to use different columns to filter the different stages, and there are a lot of NAs in the final decision column that make this initial total not match the final total. This is a function of this dataset that is unavoidable."
Edwards et al. (2018),Observational,First,Gender_2,Z_Female,Reviewer,All Male,155,195,44.28571429,2014,Life sciences,Ecology & Evolution,3.232,Final decision,"For this dataset, the final decision total and initial decision not rejected total won't match because we had to use different columns to filter the different stages, and there are a lot of NAs in the final decision column that make this initial total not match the final total. This is a function of this dataset that is unavoidable."
Edwards et al. (2018),Observational,First,Gender_2,Male,Reviewer,All Male,205,322,38.89943074,2014,Life sciences,Ecology & Evolution,3.232,Final decision,"For this dataset, the final decision total and initial decision not rejected total won't match because we had to use different columns to filter the different stages, and there are a lot of NAs in the final decision column that make this initial total not match the final total. This is a function of this dataset that is unavoidable."
Edwards et al. (2018),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,100,64,60.97560976,2014,Life sciences,Ecology & Evolution,3.232,Final decision,"For this dataset, the final decision total and initial decision not rejected total won't match because we had to use different columns to filter the different stages, and there are a lot of NAs in the final decision column that make this initial total not match the final total. This is a function of this dataset that is unavoidable."
Edwards et al. (2018),Observational,Last,Gender_2,Male,Reviewer,1+ Female,263,184,58.83668904,2014,Life sciences,Ecology & Evolution,3.232,Final decision,"For this dataset, the final decision total and initial decision not rejected total won't match because we had to use different columns to filter the different stages, and there are a lot of NAs in the final decision column that make this initial total not match the final total. This is a function of this dataset that is unavoidable."
Edwards et al. (2018),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,112,119,48.48484848,2014,Life sciences,Ecology & Evolution,3.232,Final decision,"For this dataset, the final decision total and initial decision not rejected total won't match because we had to use different columns to filter the different stages, and there are a lot of NAs in the final decision column that make this initial total not match the final total. This is a function of this dataset that is unavoidable."
Edwards et al. (2018),Observational,Last,Gender_2,Male,Reviewer,All Male,339,440,43.51732991,2014,Life sciences,Ecology & Evolution,3.232,Final decision,"For this dataset, the final decision total and initial decision not rejected total won't match because we had to use different columns to filter the different stages, and there are a lot of NAs in the final decision column that make this initial total not match the final total. This is a function of this dataset that is unavoidable."
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,351,403,46.55172414,2013,Health sciences,Health sciences,1,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,1294,1004,56.30983464,2013,Health sciences,Health sciences,2,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,994,1055,48.51146901,2013,Health sciences,Health sciences,3,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,2792,2399,53.7853978,2013,Health sciences,Health sciences,4,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,678,636,51.59817352,2013,Health sciences,Health sciences,5,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,260,212,55.08474576,2013,Health sciences,Health sciences,6,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,77,51,60.15625,2013,Health sciences,Health sciences,7,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,1+ Female,357,402,47.03557312,2013,Health sciences,Health sciences,1,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,1+ Female,1770,1156,60.49213944,2013,Health sciences,Health sciences,2,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,1+ Female,1129,1146,49.62637363,2013,Health sciences,Health sciences,3,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
