Study,Study type,Author position,Demographic,Demographic category,Assessor,Editor demographic,Rejected,Went through to next stage,% rejected,Year,Category,Subcategory,Journal impact factor,Stage,Notes
Petty et al. (1999),Observational,First,Gender,Male,Editor,Male,220,96,69.62025316,1988.75,Health sciences,Health sciences,1.757,Post initial review,"Study used decision scores 1 = accept, 2 = revision requested, 3 = resubmission/rejection. Thus, reject could be ones that allow resubmission, but this can't be separated with the data provided by the study. The journal studied is double-blind. "
Petty et al. (1999),Observational,First,Gender,Z_Female,Editor,Male,106,33,76.25899281,1988.75,Health sciences,Health sciences,1.757,Post initial review,"Study used decision scores 1 = accept, 2 = revision requested, 3 = resubmission/rejection. Thus, reject could be ones that allow resubmission, but this can't be separated with the data provided by the study. The journal studied is double-blind. "
Petty et al. (1999),Observational,First,Gender,Male,Editor,Z_Female,136,51,72.72727273,1988.75,Health sciences,Health sciences,1.757,Post initial review,"Study used decision scores 1 = accept, 2 = revision requested, 3 = resubmission/rejection. Thus, reject could be ones that allow resubmission, but this can't be separated with the data provided by the study. The journal studied is double-blind. "
Petty et al. (1999),Observational,First,Gender,Z_Female,Editor,Z_Female,64,18,78.04878049,1988.75,Health sciences,Health sciences,1.757,Post initial review,"Study used decision scores 1 = accept, 2 = revision requested, 3 = resubmission/rejection. Thus, reject could be ones that allow resubmission, but this can't be separated with the data provided by the study. The journal studied is double-blind. "
Petty et al. (1999),Observational,Corresponding,Gender,Male,Editor,Male,237,100,70.3264095,1988.75,Health sciences,Health sciences,1.757,Post initial review,"Study used decision scores 1 = accept, 2 = revision requested, 3 = resubmission/rejection. Thus, reject could be ones that allow resubmission, but this can't be separated with the data provided by the study. The journal studied is double-blind. "
Petty et al. (1999),Observational,Corresponding,Gender,Z_Female,Editor,Male,92,30,75.40983607,1988.75,Health sciences,Health sciences,1.757,Post initial review,"Study used decision scores 1 = accept, 2 = revision requested, 3 = resubmission/rejection. Thus, reject could be ones that allow resubmission, but this can't be separated with the data provided by the study. The journal studied is double-blind. "
Petty et al. (1999),Observational,Corresponding,Gender,Male,Editor,Z_Female,139,50,73.54497354,1988.75,Health sciences,Health sciences,1.757,Post initial review,"Study used decision scores 1 = accept, 2 = revision requested, 3 = resubmission/rejection. Thus, reject could be ones that allow resubmission, but this can't be separated with the data provided by the study. The journal studied is double-blind. "
Petty et al. (1999),Observational,Corresponding,Gender,Z_Female,Editor,Z_Female,63,19,76.82926829,1988.75,Health sciences,Health sciences,1.757,Post initial review,"Study used decision scores 1 = accept, 2 = revision requested, 3 = resubmission/rejection. Thus, reject could be ones that allow resubmission, but this can't be separated with the data provided by the study. The journal studied is double-blind. "
Edwards et al. (2018),Observational,First,Gender,Z_Female,Editor,Z_Female,48,96,33.33333333,2014,Life sciences,Ecology & Evolution,3.232,Post initial review,"After going back through the paper and doing some summary checks of the data against the paper totals, this corresponds to the First.Decision column, provided that the articles were sent for review (did not get desk rejected)"
Edwards et al. (2018),Observational,First,Gender,Male,Editor,Z_Female,60,143,29.55665025,2014,Life sciences,Ecology & Evolution,3.232,Post initial review,"After going back through the paper and doing some summary checks of the data against the paper totals, this corresponds to the First.Decision column, provided that the articles were sent for review (did not get desk rejected)"
