Study,Study type,Author position,Demographic,Demographic category,Assessor,Reviewer demographic,Rejected,Went through to next stage,% rejected,Year,Category,Subcategory,Journal impact factor,Stage,Notes
Edwards et al. (2018),Observational,First,Gender_1,Z_Female,Reviewer,Z_Female,188,325,36.64717349,2014,Life sciences,Ecology & Evolution,3.232,Post initial review,"After going back through the paper and doing some summary checks of the data against the paper totals, this corresponds to the First.Decision column, provided that the articles were sent for review (did not get desk rejected)"
Edwards et al. (2018),Observational,First,Gender_1,Male,Reviewer,Z_Female,210,421,33.28050713,2014,Life sciences,Ecology & Evolution,3.232,Post initial review,"After going back through the paper and doing some summary checks of the data against the paper totals, this corresponds to the First.Decision column, provided that the articles were sent for review (did not get desk rejected)"
Edwards et al. (2018),Observational,First,Gender_1,Z_Female,Reviewer,Male,302,551,35.40445487,2014,Life sciences,Ecology & Evolution,3.232,Post initial review,"After going back through the paper and doing some summary checks of the data against the paper totals, this corresponds to the First.Decision column, provided that the articles were sent for review (did not get desk rejected)"
Edwards et al. (2018),Observational,First,Gender_1,Male,Reviewer,Male,366,808,31.17546848,2014,Life sciences,Ecology & Evolution,3.232,Post initial review,"After going back through the paper and doing some summary checks of the data against the paper totals, this corresponds to the First.Decision column, provided that the articles were sent for review (did not get desk rejected)"
Edwards et al. (2018),Observational,Last,Gender_1,Z_Female,Reviewer,Z_Female,104,189,35.49488055,2014,Life sciences,Ecology & Evolution,3.232,Post initial review,"After going back through the paper and doing some summary checks of the data against the paper totals, this corresponds to the First.Decision column, provided that the articles were sent for review (did not get desk rejected)"
Edwards et al. (2018),Observational,Last,Gender_1,Male,Reviewer,Z_Female,287,570,33.48891482,2014,Life sciences,Ecology & Evolution,3.232,Post initial review,"After going back through the paper and doing some summary checks of the data against the paper totals, this corresponds to the First.Decision column, provided that the articles were sent for review (did not get desk rejected)"
Edwards et al. (2018),Observational,Last,Gender_1,Z_Female,Reviewer,Male,174,312,35.80246914,2014,Life sciences,Ecology & Evolution,3.232,Post initial review,"After going back through the paper and doing some summary checks of the data against the paper totals, this corresponds to the First.Decision column, provided that the articles were sent for review (did not get desk rejected)"
Edwards et al. (2018),Observational,Last,Gender_1,Male,Reviewer,Male,503,1047,32.4516129,2014,Life sciences,Ecology & Evolution,3.232,Post initial review,"After going back through the paper and doing some summary checks of the data against the paper totals, this corresponds to the First.Decision column, provided that the articles were sent for review (did not get desk rejected)"
Edwards et al. (2018),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,188,325,36.64717349,2014,Life sciences,Ecology & Evolution,3.232,Post initial review,"After going back through the paper and doing some summary checks of the data against the paper totals, this corresponds to the First.Decision column, provided that the articles were sent for review (did not get desk rejected)"
Edwards et al. (2018),Observational,First,Gender_2,Male,Reviewer,1+ Female,210,421,33.28050713,2014,Life sciences,Ecology & Evolution,3.232,Post initial review,"After going back through the paper and doing some summary checks of the data against the paper totals, this corresponds to the First.Decision column, provided that the articles were sent for review (did not get desk rejected)"
