Study,Study type,Author position,Demographic,Demographic category,Assessor,Reviewer demographic,Reviewer ordinal scores,Min value,Max value,Reviewer_rescaled,Total manuscripts,Accept,Minor revision,Major revision,Reject with invitation to resubmit,Reject,Year,Category,Subcategory,Journal impact factor,Stage,Notes
Campos-Arceiz et al. (2015),Observational,Corresponding,Continent,Asia,Reviewer,Asia,3.237113402,1,4,0.745704467,33.95,1.05,4.9,12.95,NA,15.05,2011,Life sciences,Ecology & Evolution,4.115,Reviewer scores,"Classified reviewer recommendations as ""accept,"" ""minor revision,"" ""major revision,"" and ""reject."" The ""Not China,"" ""Not Asia,"" and ""English"" data are all reviewers from the United States and the United Kingdom. ""Asia"" and ""ESL_all"" are all reviewers/authors from China"
Campos-Arceiz et al. (2015),Observational,Corresponding,Continent,Asia,Reviewer,Not Asia,2.794415042,1,4,0.598138347,116.205,8.05,34.94,46.065,NA,27.15,2011,Life sciences,Ecology & Evolution,4.115,Reviewer scores,"Classified reviewer recommendations as ""accept,"" ""minor revision,"" ""major revision,"" and ""reject."" The ""Not China,"" ""Not Asia,"" and ""English"" data are all reviewers from the United States and the United Kingdom. ""Asia"" and ""ESL_all"" are all reviewers/authors from China"
Campos-Arceiz et al. (2015),Observational,Corresponding,ESL_all,ESL_all,Reviewer,English_all,2.794415042,1,4,0.598138347,116.205,8.05,34.94,46.065,NA,27.15,2011,Life sciences,Ecology & Evolution,4.115,Reviewer scores,"Classified reviewer recommendations as ""accept,"" ""minor revision,"" ""major revision,"" and ""reject."" The ""Not China,"" ""Not Asia,"" and ""English"" data are all reviewers from the United States and the United Kingdom. ""Asia"" and ""ESL_all"" are all reviewers/authors from China"
Campos-Arceiz et al. (2015),Observational,Corresponding,ESL_all,ESL_all,Reviewer,ESL_all,3.237113402,1,4,0.745704467,33.95,1.05,4.9,12.95,NA,15.05,2011,Life sciences,Ecology & Evolution,4.115,Reviewer scores,"Classified reviewer recommendations as ""accept,"" ""minor revision,"" ""major revision,"" and ""reject."" The ""Not China,"" ""Not Asia,"" and ""English"" data are all reviewers from the United States and the United Kingdom. ""Asia"" and ""ESL_all"" are all reviewers/authors from China"
Fox et al. (2016),Observational,Corresponding,Gender_1,Z_Female,Reviewer,Z_Female,2.563909774,1,4,0.521303258,133,17,NA,58,24,34,2012,Life sciences,Ecology & Evolution,4.861,Reviewer scores,"The coding doesn't fit well in the labels we created to use across diverse studies. Functional Ecology changed their scoring system between the first two years and last two years of this study. 2010-2011: 1 = accept following minor revision, 2 = requires major revision, 3 = reject because not important or general enough for Functional Ecology, 4 = reject because quality of data or manuscript not adequate for Functional Ecology. 2012-2014: changed to be descriptive of 1 = novel in top 10% of papers in ecology, 2 = strong contribution to the field of ecology, 3 = solid work but confirmatory, and 4 = weak or flawed and not of enough importance/general interest for Functional Ecology. Finally, the Dryad data for Gender_1 for this study only had reviewer gender paired with author gender for papers that had both a male and female reviewer, so this is only a subset of the data. "
Fox et al. (2016),Observational,Corresponding,Gender_1,Male,Reviewer,Z_Female,2.567839196,1,4,0.522613065,199,24,NA,88,37,50,2012,Life sciences,Ecology & Evolution,4.861,Reviewer scores,"The coding doesn't fit well in the labels we created to use across diverse studies. Functional Ecology changed their scoring system between the first two years and last two years of this study. 2010-2011: 1 = accept following minor revision, 2 = requires major revision, 3 = reject because not important or general enough for Functional Ecology, 4 = reject because quality of data or manuscript not adequate for Functional Ecology. 2012-2014: changed to be descriptive of 1 = novel in top 10% of papers in ecology, 2 = strong contribution to the field of ecology, 3 = solid work but confirmatory, and 4 = weak or flawed and not of enough importance/general interest for Functional Ecology. Finally, the Dryad data for Gender_1 for this study only had reviewer gender paired with author gender for papers that had both a male and female reviewer, so this is only a subset of the data. "
Fox et al. (2016),Observational,Corresponding,Gender_1,Z_Female,Reviewer,Male,2.601503759,1,4,0.533834586,133,13,NA,58,31,31,2012,Life sciences,Ecology & Evolution,4.861,Reviewer scores,"The coding doesn't fit well in the labels we created to use across diverse studies. Functional Ecology changed their scoring system between the first two years and last two years of this study. 2010-2011: 1 = accept following minor revision, 2 = requires major revision, 3 = reject because not important or general enough for Functional Ecology, 4 = reject because quality of data or manuscript not adequate for Functional Ecology. 2012-2014: changed to be descriptive of 1 = novel in top 10% of papers in ecology, 2 = strong contribution to the field of ecology, 3 = solid work but confirmatory, and 4 = weak or flawed and not of enough importance/general interest for Functional Ecology. Finally, the Dryad data for Gender_1 for this study only had reviewer gender paired with author gender for papers that had both a male and female reviewer, so this is only a subset of the data. "
Fox et al. (2016),Observational,Corresponding,Gender_1,Male,Reviewer,Male,2.547738693,1,4,0.515912898,199,24,NA,91,35,49,2012,Life sciences,Ecology & Evolution,4.861,Reviewer scores,"The coding doesn't fit well in the labels we created to use across diverse studies. Functional Ecology changed their scoring system between the first two years and last two years of this study. 2010-2011: 1 = accept following minor revision, 2 = requires major revision, 3 = reject because not important or general enough for Functional Ecology, 4 = reject because quality of data or manuscript not adequate for Functional Ecology. 2012-2014: changed to be descriptive of 1 = novel in top 10% of papers in ecology, 2 = strong contribution to the field of ecology, 3 = solid work but confirmatory, and 4 = weak or flawed and not of enough importance/general interest for Functional Ecology. Finally, the Dryad data for Gender_1 for this study only had reviewer gender paired with author gender for papers that had both a male and female reviewer, so this is only a subset of the data. "
Fox et al. (2016),Observational,First,Gender_1,Z_Female,Reviewer,Z_Female,2.538461538,1,4,0.512820513,143,19,NA,62,28,34,2012,Life sciences,Ecology & Evolution,4.861,Reviewer scores,"The coding doesn't fit well in the labels we created to use across diverse studies. Functional Ecology changed their scoring system between the first two years and last two years of this study. 2010-2011: 1 = accept following minor revision, 2 = requires major revision, 3 = reject because not important or general enough for Functional Ecology, 4 = reject because quality of data or manuscript not adequate for Functional Ecology. 2012-2014: changed to be descriptive of 1 = novel in top 10% of papers in ecology, 2 = strong contribution to the field of ecology, 3 = solid work but confirmatory, and 4 = weak or flawed and not of enough importance/general interest for Functional Ecology. Finally, the Dryad data for Gender_1 for this study only had reviewer gender paired with author gender for papers that had both a male and female reviewer, so this is only a subset of the data. "
Fox et al. (2016),Observational,First,Gender_1,Male,Reviewer,Z_Female,2.570048309,1,4,0.523349436,207,24,NA,94,36,53,2012,Life sciences,Ecology & Evolution,4.861,Reviewer scores,"The coding doesn't fit well in the labels we created to use across diverse studies. Functional Ecology changed their scoring system between the first two years and last two years of this study. 2010-2011: 1 = accept following minor revision, 2 = requires major revision, 3 = reject because not important or general enough for Functional Ecology, 4 = reject because quality of data or manuscript not adequate for Functional Ecology. 2012-2014: changed to be descriptive of 1 = novel in top 10% of papers in ecology, 2 = strong contribution to the field of ecology, 3 = solid work but confirmatory, and 4 = weak or flawed and not of enough importance/general interest for Functional Ecology. Finally, the Dryad data for Gender_1 for this study only had reviewer gender paired with author gender for papers that had both a male and female reviewer, so this is only a subset of the data. "
Fox et al. (2016),Observational,First,Gender_1,Z_Female,Reviewer,Male,2.629370629,1,4,0.543123543,143,13,NA,62,33,35,2012,Life sciences,Ecology & Evolution,4.861,Reviewer scores,"The coding doesn't fit well in the labels we created to use across diverse studies. Functional Ecology changed their scoring system between the first two years and last two years of this study. 2010-2011: 1 = accept following minor revision, 2 = requires major revision, 3 = reject because not important or general enough for Functional Ecology, 4 = reject because quality of data or manuscript not adequate for Functional Ecology. 2012-2014: changed to be descriptive of 1 = novel in top 10% of papers in ecology, 2 = strong contribution to the field of ecology, 3 = solid work but confirmatory, and 4 = weak or flawed and not of enough importance/general interest for Functional Ecology. Finally, the Dryad data for Gender_1 for this study only had reviewer gender paired with author gender for papers that had both a male and female reviewer, so this is only a subset of the data. "
Fox et al. (2016),Observational,First,Gender_1,Male,Reviewer,Male,2.531400966,1,4,0.510466989,207,28,NA,93,34,52,2012,Life sciences,Ecology & Evolution,4.861,Reviewer scores,"The coding doesn't fit well in the labels we created to use across diverse studies. Functional Ecology changed their scoring system between the first two years and last two years of this study. 2010-2011: 1 = accept following minor revision, 2 = requires major revision, 3 = reject because not important or general enough for Functional Ecology, 4 = reject because quality of data or manuscript not adequate for Functional Ecology. 2012-2014: changed to be descriptive of 1 = novel in top 10% of papers in ecology, 2 = strong contribution to the field of ecology, 3 = solid work but confirmatory, and 4 = weak or flawed and not of enough importance/general interest for Functional Ecology. Finally, the Dryad data for Gender_1 for this study only had reviewer gender paired with author gender for papers that had both a male and female reviewer, so this is only a subset of the data. "
Fox et al. (2016),Observational,Last,Gender_1,Z_Female,Reviewer,Z_Female,2.542857143,1,4,0.514285714,70,10,NA,30,12,18,2012,Life sciences,Ecology & Evolution,4.861,Reviewer scores,"The coding doesn't fit well in the labels we created to use across diverse studies. Functional Ecology changed their scoring system between the first two years and last two years of this study. 2010-2011: 1 = accept following minor revision, 2 = requires major revision, 3 = reject because not important or general enough for Functional Ecology, 4 = reject because quality of data or manuscript not adequate for Functional Ecology. 2012-2014: changed to be descriptive of 1 = novel in top 10% of papers in ecology, 2 = strong contribution to the field of ecology, 3 = solid work but confirmatory, and 4 = weak or flawed and not of enough importance/general interest for Functional Ecology. Finally, the Dryad data for Gender_1 for this study only had reviewer gender paired with author gender for papers that had both a male and female reviewer, so this is only a subset of the data. "
Fox et al. (2016),Observational,Last,Gender_1,Male,Reviewer,Z_Female,2.58302583,1,4,0.527675277,271,32,NA,118,52,69,2012,Life sciences,Ecology & Evolution,4.861,Reviewer scores,"The coding doesn't fit well in the labels we created to use across diverse studies. Functional Ecology changed their scoring system between the first two years and last two years of this study. 2010-2011: 1 = accept following minor revision, 2 = requires major revision, 3 = reject because not important or general enough for Functional Ecology, 4 = reject because quality of data or manuscript not adequate for Functional Ecology. 2012-2014: changed to be descriptive of 1 = novel in top 10% of papers in ecology, 2 = strong contribution to the field of ecology, 3 = solid work but confirmatory, and 4 = weak or flawed and not of enough importance/general interest for Functional Ecology. Finally, the Dryad data for Gender_1 for this study only had reviewer gender paired with author gender for papers that had both a male and female reviewer, so this is only a subset of the data. "
Fox et al. (2016),Observational,Last,Gender_1,Z_Female,Reviewer,Male,2.6,1,4,0.533333333,70,5,NA,33,17,15,2012,Life sciences,Ecology & Evolution,4.861,Reviewer scores,"The coding doesn't fit well in the labels we created to use across diverse studies. Functional Ecology changed their scoring system between the first two years and last two years of this study. 2010-2011: 1 = accept following minor revision, 2 = requires major revision, 3 = reject because not important or general enough for Functional Ecology, 4 = reject because quality of data or manuscript not adequate for Functional Ecology. 2012-2014: changed to be descriptive of 1 = novel in top 10% of papers in ecology, 2 = strong contribution to the field of ecology, 3 = solid work but confirmatory, and 4 = weak or flawed and not of enough importance/general interest for Functional Ecology. Finally, the Dryad data for Gender_1 for this study only had reviewer gender paired with author gender for papers that had both a male and female reviewer, so this is only a subset of the data. "
Fox et al. (2016),Observational,Last,Gender_1,Male,Reviewer,Male,2.557195572,1,4,0.519065191,271,34,NA,121,47,69,2012,Life sciences,Ecology & Evolution,4.861,Reviewer scores,"The coding doesn't fit well in the labels we created to use across diverse studies. Functional Ecology changed their scoring system between the first two years and last two years of this study. 2010-2011: 1 = accept following minor revision, 2 = requires major revision, 3 = reject because not important or general enough for Functional Ecology, 4 = reject because quality of data or manuscript not adequate for Functional Ecology. 2012-2014: changed to be descriptive of 1 = novel in top 10% of papers in ecology, 2 = strong contribution to the field of ecology, 3 = solid work but confirmatory, and 4 = weak or flawed and not of enough importance/general interest for Functional Ecology. Finally, the Dryad data for Gender_1 for this study only had reviewer gender paired with author gender for papers that had both a male and female reviewer, so this is only a subset of the data. "
Fox et al. (2016),Observational,Corresponding,Gender_2,Z_Female,Reviewer,1+ Female,2.502744511,1,4,0.500914837,334,NA,NA,NA,NA,NA,2012,Life sciences,Ecology & Evolution,4.861,Reviewer scores,"The coding doesn't fit well in the labels we created to use across diverse studies. Functional Ecology changed their scoring system between the first two years and last two years. 2010-2011: 1 = accept following minor revision, 2 = requires major revision, 3 = reject because not important or general enough for Functional Ecology, 4 = reject because quality of data or manuscript not adequate for Functional Ecology. 2012-2014: changed to be descriptive of 1 = novel in top 10% of papers in ecology, 2 = strong contribution to the field of ecology, 3 = solid work but confirmatory, and 4 = weak or flawed and not of enough importance/general interest for Functional Ecology. These rows of data use the study's full Dryad archive that provides the proportion reviewers that are female"
Fox et al. (2016),Observational,Corresponding,Gender_2,Male,Reviewer,1+ Female,2.483666667,1,4,0.494555556,500,NA,NA,NA,NA,NA,2012,Life sciences,Ecology & Evolution,4.861,Reviewer scores,"The coding doesn't fit well in the labels we created to use across diverse studies. Functional Ecology changed their scoring system between the first two years and last two years. 2010-2011: 1 = accept following minor revision, 2 = requires major revision, 3 = reject because not important or general enough for Functional Ecology, 4 = reject because quality of data or manuscript not adequate for Functional Ecology. 2012-2014: changed to be descriptive of 1 = novel in top 10% of papers in ecology, 2 = strong contribution to the field of ecology, 3 = solid work but confirmatory, and 4 = weak or flawed and not of enough importance/general interest for Functional Ecology. These rows of data use the study's full Dryad archive that provides the proportion reviewers that are female"
Fox et al. (2016),Observational,Corresponding,Gender_2,Z_Female,Reviewer,All Male,2.615420129,1,4,0.538473376,361,NA,NA,NA,NA,NA,2012,Life sciences,Ecology & Evolution,4.861,Reviewer scores,"The coding doesn't fit well in the labels we created to use across diverse studies. Functional Ecology changed their scoring system between the first two years and last two years. 2010-2011: 1 = accept following minor revision, 2 = requires major revision, 3 = reject because not important or general enough for Functional Ecology, 4 = reject because quality of data or manuscript not adequate for Functional Ecology. 2012-2014: changed to be descriptive of 1 = novel in top 10% of papers in ecology, 2 = strong contribution to the field of ecology, 3 = solid work but confirmatory, and 4 = weak or flawed and not of enough importance/general interest for Functional Ecology. These rows of data use the study's full Dryad archive that provides the proportion reviewers that are female"
Fox et al. (2016),Observational,Corresponding,Gender_2,Male,Reviewer,All Male,2.52724049,1,4,0.509080163,517,NA,NA,NA,NA,NA,2012,Life sciences,Ecology & Evolution,4.861,Reviewer scores,"The coding doesn't fit well in the labels we created to use across diverse studies. Functional Ecology changed their scoring system between the first two years and last two years. 2010-2011: 1 = accept following minor revision, 2 = requires major revision, 3 = reject because not important or general enough for Functional Ecology, 4 = reject because quality of data or manuscript not adequate for Functional Ecology. 2012-2014: changed to be descriptive of 1 = novel in top 10% of papers in ecology, 2 = strong contribution to the field of ecology, 3 = solid work but confirmatory, and 4 = weak or flawed and not of enough importance/general interest for Functional Ecology. These rows of data use the study's full Dryad archive that provides the proportion reviewers that are female"
Fox et al. (2016),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,2.511782348,1,4,0.503927449,389,NA,NA,NA,NA,NA,2012,Life sciences,Ecology & Evolution,4.861,Reviewer scores,"The coding doesn't fit well in the labels we created to use across diverse studies. Functional Ecology changed their scoring system between the first two years and last two years. 2010-2011: 1 = accept following minor revision, 2 = requires major revision, 3 = reject because not important or general enough for Functional Ecology, 4 = reject because quality of data or manuscript not adequate for Functional Ecology. 2012-2014: changed to be descriptive of 1 = novel in top 10% of papers in ecology, 2 = strong contribution to the field of ecology, 3 = solid work but confirmatory, and 4 = weak or flawed and not of enough importance/general interest for Functional Ecology. These rows of data use the study's full Dryad archive that provides the proportion reviewers that are female"
