Study,Study type,Author position,Demographic,Demographic category,Total manuscripts,N.reviewers,Year,Category,Subcategory,Journal impact factor,Stage,Notes
Burns and Fox (2017),Observational,Corresponding,Continent,Africa,18,2.277777778,2012,Life sciences,Ecology & Evolution,4.861,Number of reviewers,
Burns and Fox (2017),Observational,Corresponding,Continent,Asia,144,2.229166667,2012,Life sciences,Ecology & Evolution,4.861,Number of reviewers,
Burns and Fox (2017),Observational,Corresponding,Continent,Europe,732,2.326502732,2012,Life sciences,Ecology & Evolution,4.861,Number of reviewers,
Burns and Fox (2017),Observational,Corresponding,Continent,Latin America,66,2.287878788,2012,Life sciences,Ecology & Evolution,4.861,Number of reviewers,
Burns and Fox (2017),Observational,Corresponding,Continent,North America,520,2.313461538,2012,Life sciences,Ecology & Evolution,4.861,Number of reviewers,
Burns and Fox (2017),Observational,Corresponding,Continent,Oceania,162,2.308641975,2012,Life sciences,Ecology & Evolution,4.861,Number of reviewers,
Burns and Fox (2017),Observational,First,Continent,Africa,20,2.3,2012,Life sciences,Ecology & Evolution,4.861,Number of reviewers,
Burns and Fox (2017),Observational,First,Continent,Asia,155,2.270967742,2012,Life sciences,Ecology & Evolution,4.861,Number of reviewers,
Burns and Fox (2017),Observational,First,Continent,Europe,749,2.32176235,2012,Life sciences,Ecology & Evolution,4.861,Number of reviewers,
Burns and Fox (2017),Observational,First,Continent,Latin America,77,2.311688312,2012,Life sciences,Ecology & Evolution,4.861,Number of reviewers,
Burns and Fox (2017),Observational,First,Continent,North America,539,2.306122449,2012,Life sciences,Ecology & Evolution,4.861,Number of reviewers,
Burns and Fox (2017),Observational,First,Continent,Oceania,165,2.303030303,2012,Life sciences,Ecology & Evolution,4.861,Number of reviewers,
Burns and Fox (2017),Observational,Last,Continent,Africa,18,2.222222222,2012,Life sciences,Ecology & Evolution,4.861,Number of reviewers,
Burns and Fox (2017),Observational,Last,Continent,Asia,135,2.259259259,2012,Life sciences,Ecology & Evolution,4.861,Number of reviewers,
Burns and Fox (2017),Observational,Last,Continent,Europe,769,2.313394018,2012,Life sciences,Ecology & Evolution,4.861,Number of reviewers,
Burns and Fox (2017),Observational,Last,Continent,Latin America,71,2.23943662,2012,Life sciences,Ecology & Evolution,4.861,Number of reviewers,
Burns and Fox (2017),Observational,Last,Continent,North America,578,2.328719723,2012,Life sciences,Ecology & Evolution,4.861,Number of reviewers,
Burns and Fox (2017),Observational,Last,Continent,Oceania,185,2.351351351,2012,Life sciences,Ecology & Evolution,4.861,Number of reviewers,
Edwards et al. (2018),Observational,First,Continent,Africa,46,1.39,2014,Life sciences,Ecology & Evolution,3.232,Number of reviewers,There is some uncertainty in the dataset regarding exactly how many papers went into review because it had no meta-data or clear markings for which review stage rows corresponded to
Edwards et al. (2018),Observational,First,Continent,North America,1051,1.38,2014,Life sciences,Ecology & Evolution,3.232,Number of reviewers,There is some uncertainty in the dataset regarding exactly how many papers went into review because it had no meta-data or clear markings for which review stage rows corresponded to. This study used “Americas” rather than Latin and North America. We reclassified to North America since other datasets that do separate them show that papers from North America are a much bigger share
