Study,Study type,Author position,Demographic,Demographic category,Rejected,Went through to next stage,% rejected,Year,Category,Subcategory,Journal impact factor,Stage,Notes
Burns and Fox (2017),Observational,Corresponding,Continent,Africa,13,5,72.22222222,2012,Life sciences,Ecology & Evolution,4.861,Post initial review,
Burns and Fox (2017),Observational,Corresponding,Continent,Asia,112,32,77.77777778,2012,Life sciences,Ecology & Evolution,4.861,Post initial review,
Burns and Fox (2017),Observational,Corresponding,Continent,Europe,507,225,69.26229508,2012,Life sciences,Ecology & Evolution,4.861,Post initial review,
Burns and Fox (2017),Observational,Corresponding,Continent,Latin America,55,11,83.33333333,2012,Life sciences,Ecology & Evolution,4.861,Post initial review,
Burns and Fox (2017),Observational,Corresponding,Continent,North America,347,173,66.73076923,2012,Life sciences,Ecology & Evolution,4.861,Post initial review,
Burns and Fox (2017),Observational,Corresponding,Continent,Oceania,101,61,62.34567901,2012,Life sciences,Ecology & Evolution,4.861,Post initial review,
Burns and Fox (2017),Observational,First,Continent,Africa,15,5,75,2012,Life sciences,Ecology & Evolution,4.861,Post initial review,
Burns and Fox (2017),Observational,First,Continent,Asia,121,34,78.06451613,2012,Life sciences,Ecology & Evolution,4.861,Post initial review,
Burns and Fox (2017),Observational,First,Continent,Europe,519,230,69.29238985,2012,Life sciences,Ecology & Evolution,4.861,Post initial review,
Burns and Fox (2017),Observational,First,Continent,Latin America,62,15,80.51948052,2012,Life sciences,Ecology & Evolution,4.861,Post initial review,
Burns and Fox (2017),Observational,First,Continent,North America,353,186,65.49165121,2012,Life sciences,Ecology & Evolution,4.861,Post initial review,
Burns and Fox (2017),Observational,First,Continent,Oceania,103,62,62.42424242,2012,Life sciences,Ecology & Evolution,4.861,Post initial review,
Burns and Fox (2017),Observational,Last,Continent,Africa,13,5,72.22222222,2012,Life sciences,Ecology & Evolution,4.861,Post initial review,
Burns and Fox (2017),Observational,Last,Continent,Asia,107,28,79.25925926,2012,Life sciences,Ecology & Evolution,4.861,Post initial review,
